time,latitude,longitude,depth_km,mag,event_id,r_km
2023-02-08 17:38:52+00:00,56.9123333333,-158.064,2.09,-0.04,av91087973,8.863356729359335
2023-02-08 19:17:27+00:00,56.866,-158.1315,2.02,1.1,av91088018,6.477770528818524
2023-02-08 19:46:32+00:00,56.9148333333,-158.0443333333,2.37,-0.19,av91088008,10.081522212404057
2023-02-08 19:47:38+00:00,56.8938333333,-158.0963333333,5.52,-0.32,av91088023,6.993519784629221
2023-02-08 21:26:12+00:00,56.9231666667,-157.9986666667,-2.01,0.82,av91088043,12.956856246997136
2023-02-08 21:27:56+00:00,56.9183333333,-158.0728333333,3.2,-0.65,av91088048,8.411254536075306
2023-02-08 22:10:32+00:00,56.9148333333,-158.059,3.67,1.15,av91088053,9.192945588255624
2023-02-08 23:22:09+00:00,56.8851666667,-158.0158333333,-0.91,0.7,av91088063,11.994182534930351
2023-02-09 01:26:43+00:00,56.9198333333,-158.066,4.39,0.47,av91088073,8.849801219721355
2023-02-09 01:42:32+00:00,56.9193333333,-158.027,-2.73,0.9,av91088078,11.18842200481822
2023-02-09 02:15:28+00:00,56.9235,-158.0168333333,2.45,0.24,av91088088,11.869899425737913
2023-02-09 04:21:25+00:00,56.8875,-158.1686666667,5.02,-0.34,av91756981,3.192849245374322
2023-02-09 05:41:57+00:00,56.9143333333,-158.0378333333,0.89,0.24,av91088153,10.470458663736022
2023-02-09 05:42:18+00:00,56.912,-158.0676666667,2.42,-0.59,av91088158,8.63774757151286
2023-02-09 05:42:51+00:00,56.9116666667,-158.05,1.91,0.88,av91088163,9.708422957371344
2023-02-09 07:05:56+00:00,56.9166666667,-158.0273333333,1.0,0.3,av91088188,11.132512819769987
2023-02-09 07:19:38+00:00,56.8628333333,-158.2116666667,0.63,0.1,av91088193,4.78743428807934
2023-02-09 07:27:44+00:00,56.8573333333,-158.2033333333,1.64,1.16,av91088198,5.408184406142847
2023-02-09 08:54:27+00:00,56.9148333333,-157.9763333333,4.76,1.01,av91088208,14.209302117095058
2023-02-09 13:47:34+00:00,56.9166666667,-158.0536666667,3.64,1.27,av91088273,9.539470293449813
2023-02-09 13:59:00+00:00,56.867,-158.1946666667,1.33,0.64,av91088278,4.408140026150767
2023-02-09 14:09:37+00:00,56.8736666667,-158.1888333333,2.06,0.47,av91088283,3.7835372121662325
2023-02-09 14:18:07+00:00,56.8973333333,-158.0143333333,0.82,0.86,av91088288,11.898943446312627
2023-02-09 14:19:45+00:00,56.8611666667,-158.1653333333,2.47,0.29,av91088293,5.638249029345057
2023-02-09 16:33:22+00:00,56.87,-158.1685,3.1,0.32,av91088333,4.689072155315312
2023-02-09 16:36:15+00:00,56.8548333333,-158.184,1.53,0.42,av91757371,5.876630448618268
2023-02-09 19:15:11+00:00,56.912,-158.0275,0.96,0.23,av91088358,11.078620804526555
2023-02-09 19:34:02+00:00,56.9076666667,-158.0946666667,4.18,-0.52,av91088378,6.968759168189189
2023-02-09 19:36:47+00:00,56.9095,-158.0351666667,2.72,-0.42,av91088388,10.598394607631734
