event_id,time,best_v_km_s,snr,peak_energy,baseline_energy,noise_percentile,qc_ratio_pctl_high_over_low,pctl_low,pctl_high,freqmin,freqmax,num_stations,min_valid_stations_per_v,n_files
2,2021-07-29 08:03:26.930000+00:00,3.0201342281879198,113.2116361526211,985000905.3180926,8700527.072943356,50.0,142.00801366475,25.0,75.0,1.0,15.0,9,4,2
9,2021-07-29 08:16:23.630000+00:00,2.4832214765100673,36.49760332866444,1075465865.8555415,29466753.095288686,50.0,29.985227312420598,25.0,75.0,1.0,15.0,10,4,2
11,2021-07-29 08:26:00.040000+00:00,2.3758389261744965,3.730199947334751,12775707.57440645,3424939.079615495,50.0,5.160452891966276,25.0,75.0,1.0,15.0,6,4,2
15,2021-07-29 08:40:45.560000+00:00,2.5369127516778525,45.95784334267473,868963313.5199072,18907834.883388024,50.0,50.39446745998642,25.0,75.0,1.0,15.0,11,4,2
19,2021-07-29 09:08:20.310000+00:00,3.557046979865772,12.441327623008046,111343965.12909785,8949524.399886936,50.0,67.9080640729532,25.0,75.0,1.0,15.0,10,4,2
