time,latitude,longitude,depth_km,mag,event_id,r_km
2023-01-01 19:02:43.340000+00:00,56.855,-158.077666666667,6.73,0.51,av91082823,9.803740752083636
2023-01-01 19:05:52.430000+00:00,56.8133333333333,-158.0935,10.62,0.82,av91082833,12.476595845499052
2023-01-02 08:43:42.290000+00:00,56.857,-158.075333333333,6.81,0.39,av91082573,9.794791347209536
2023-01-02 21:22:46.292000+00:00,56.8637,-158.1259,3.3,1.6,ak0233nplup,6.9022379106527065
2023-01-04 07:17:23.187000+00:00,56.8408,-158.0504,5.7,1.7,ak0236qf46i,12.079907285772933
2023-01-04 11:34:36.690000+00:00,56.9095,-158.122,5.86,0.61,av91083143,5.316259874202907
2023-01-11 20:50:52+00:00,56.8755,-158.189333333333,0.84,0.0,av91084083,3.5807415013953534
2023-01-20 09:26:30.170000+00:00,56.8823333333333,-158.161833333333,5.89,1.72,av91085128,3.8848315713144865
2023-01-23 20:11:09.590000+00:00,56.8213,-158.0008,3.5,1.9,ak02312dc0zg,15.805308162224232
2023-01-27 06:11:02.450000+00:00,56.8716666666667,-158.207166666667,2.4,0.07,av91085858,3.8026579652098724
2023-01-31 08:23:45.510000+00:00,56.8991666666667,-158.028833333333,2.8,0.68,av91086258,11.002565404948786
2023-01-31 09:00:01.890000+00:00,56.8781666666667,-158.181166666667,2.99,0.43,av91086268,3.5138075592034865
2023-01-31 11:39:51.230000+00:00,56.9171666666667,-158.065166666667,4.82,0.88,av91086308,8.85276440024355
2023-02-01 04:44:27.810000+00:00,56.8648333333333,-158.202833333333,2.23,0.81,av91086388,4.577420447717399
2023-02-01 07:13:58.580000+00:00,56.8491666666667,-158.043,12.33,0.28,av91086418,11.92532884540312
2023-02-01 08:57:44.370000+00:00,56.9093333333333,-158.089,2.32,0.4,av91086443,7.321312606509004
2023-02-01 12:39:27.930000+00:00,56.8461666666667,-158.184666666667,3.27,0.42,av91086463,6.804360340843009
2023-02-01 12:41:44.650000+00:00,56.8703333333333,-158.193833333333,3.42,0.05,av91086478,4.056247973287503
2023-02-01 14:55:36.120000+00:00,56.9216666666667,-158.058,5.39,0.17,av91086493,9.365991069432614
2023-02-01 17:43:04.330000+00:00,56.9085,-158.038333333333,2.16,0.5,av91086543,10.4019462900173
2023-02-01 19:07:21.469000+00:00,56.8636,-158.1407,1.6,1.4,ak0231h8jvwr,6.278432028526625
2023-02-02 00:42:26.390000+00:00,56.8741666666667,-158.1825,1.93,0.19,av91086598,3.8752771757946816
2023-02-02 05:16:38.640000+00:00,56.852,-158.1755,3.13,0.28,av91086683,6.329638318411185
2023-02-02 15:25:14.690000+00:00,56.9086666666667,-158.025333333333,2.88,0.07,av91086778,11.194131987735005
2023-02-02 22:47:42.280000+00:00,56.9031666666667,-158.004833333333,-2.18,0.58,av91086918,12.442876207537497
2023-02-04 11:16:51.816000+00:00,56.901,-157.9929,5.0,1.8,ak0231m2ggb6,13.177717405519155
2023-02-04 12:24:26.130000+00:00,56.873,-158.198666666667,-2.62,0.67,av91087293,3.7064457066998506
2023-02-04 13:33:37.358000+00:00,56.8437,-158.0316,5.9,1.9,ak0231m3qxos,12.838717857044534
2023-02-07 02:41:45.900000+00:00,56.9315,-158.023,4.12,0.54,av91087483,11.684192268660626
2023-02-07 19:19:49.410000+00:00,56.8748333333333,-158.2,3.1,0.29,av91087638,3.491742049626592
2023-02-07 20:15:28.242000+00:00,56.9017,-157.9962,0.2,2.0,ak0231r6f4uq,12.973719927679198
2023-02-07 21:15:34.320000+00:00,56.8525,-158.2175,-0.02,0.98,av91087663,5.957947394583958
2023-02-08 01:02:56.770000+00:00,56.904,-158.008666666667,-2.03,0.96,av91087693,12.207373830672914
2023-02-08 01:09:09.650000+00:00,56.8765,-158.208333333333,3.92,0.74,av91087698,3.2630401691188062
2023-02-08 02:38:34.270000+00:00,56.9078333333333,-158.038,2.13,0.7,av91087733,10.420460968059363
2023-02-08 07:35:13.900000+00:00,56.9136666666667,-158.063833333333,3.44,0.56,av91087798,8.886724908520202
2023-02-08 08:02:47.100000+00:00,56.8715,-158.163666666667,3.21,0.94,av91087803,4.714295880664996
2023-02-08 12:45:01.720000+00:00,56.9131666666667,-158.018333333333,-2.12,1.08,av91087858,11.644275918051067
2023-02-08 12:55:32.623000+00:00,56.9057,-158.0784,0.3,1.9,ak0231spflex,7.9569073106815145
2023-02-08 14:45:24.740000+00:00,56.9225,-158.006833333333,-2.27,0.34,av91087883,12.454012834938368
2023-02-08 16:22:54.790000+00:00,56.9126666666667,-158.0385,3.01,0.26,av91087923,10.41497599073455
2023-02-08 16:52:39.880000+00:00,56.8831666666667,-158.073833333333,1.15,0.29,av91087938,8.614556289224693
2023-02-08 16:58:40.180000+00:00,56.8775,-158.016666666667,-0.91,0.81,av91087948,12.138680832623498
2023-02-08 17:02:39.140000+00:00,56.8555,-158.173833333333,0.3,0.16,av91087963,5.997599070954178
2023-02-08 19:17:27.173000+00:00,56.8552,-157.9865,1.0,1.7,ak0231stdh2i,14.688843954427918
2023-02-08 21:26:12.990000+00:00,56.9231666666667,-157.998666666667,-2.01,0.82,av91088043,12.956856248436608
2023-02-08 22:10:32.670000+00:00,56.9148333333333,-158.059,3.67,1.15,av91088053,9.192945588657173
2023-02-08 23:22:09.560000+00:00,56.8851666666667,-158.015833333333,-0.91,0.7,av91088063,11.99418253367231
2023-02-09 01:26:43.090000+00:00,56.9198333333333,-158.066,4.39,0.47,av91088073,8.849801220372619
2023-02-09 01:42:32.280000+00:00,56.9193333333333,-158.027,-2.73,0.9,av91088078,11.188422005312704
2023-02-09 02:15:28.390000+00:00,56.9235,-158.016833333333,2.45,0.24,av91088088,11.869899423755937
2023-02-09 05:41:57.990000+00:00,56.9143333333333,-158.037833333333,0.89,0.24,av91088153,10.470458662066019
2023-02-09 05:42:51.240000+00:00,56.9116666666667,-158.05,1.91,0.88,av91088163,9.708422957126126
2023-02-09 07:05:56.800000+00:00,56.9166666666667,-158.027333333333,1.0,0.3,av91088188,11.13251281737346
2023-02-09 07:19:38.340000+00:00,56.8628333333333,-158.211666666667,0.63,0.1,av91088193,4.787434284303217
2023-02-09 07:27:44.480000+00:00,56.8573333333333,-158.203333333333,1.64,1.16,av91088198,5.408184402314024
2023-02-09 08:54:27.540000+00:00,56.9148333333333,-157.976333333333,4.76,1.01,av91088208,14.209302115346047
2023-02-09 13:47:34.810000+00:00,56.9166666666667,-158.053666666667,3.64,1.27,av91088273,9.539470294977443
2023-02-09 13:59:00.860000+00:00,56.867,-158.194666666667,1.33,0.64,av91088278,4.408140026549389
2023-02-09 14:09:37.660000+00:00,56.8736666666667,-158.188833333333,2.06,0.47,av91088283,3.783537215019193
2023-02-09 14:18:07.830000+00:00,56.8973333333333,-158.014333333333,0.82,0.86,av91088288,11.898943444007422
2023-02-09 14:19:45.350000+00:00,56.8611666666667,-158.165333333333,2.47,0.29,av91088293,5.638249031664985
2023-02-09 16:33:22.230000+00:00,56.87,-158.1685,3.1,0.32,av91088333,4.689072155315312
2023-02-09 16:36:15.680000+00:00,56.8548333333333,-158.184,1.53,0.42,av91757371,5.876630445037394
2023-02-09 19:15:11.160000+00:00,56.912,-158.0275,0.96,0.23,av91088358,11.078620804526555
2023-02-09 19:38:11.190000+00:00,56.9116666666667,-158.014666666667,1.95,0.2,av91088393,11.856964399086529
2023-02-09 21:03:14.680000+00:00,56.9316666666667,-158.138666666667,5.21,0.41,av91088408,5.162028164910483
2023-02-10 00:26:37.680000+00:00,56.926,-158.006833333333,1.71,0.09,av91088433,12.517579366861753
2023-02-10 00:27:52.410000+00:00,56.8796666666667,-158.202833333333,3.08,0.13,av91088438,2.9343234902297772
2023-02-14 03:15:28.027000+00:00,56.9063,-158.1082,0.8,1.9,ak02322h26xv,6.141516488516765
2023-02-15 02:14:01.060000+00:00,56.9071666666667,-158.000833333333,-2.78,1.18,av91088978,12.683366390188272
2023-02-15 07:31:32.312000+00:00,56.9113,-158.0891,2.0,2.1,ak0232472pn3,7.330080297189907
2023-02-15 12:12:03.100000+00:00,56.9075,-158.069833333333,-0.42,1.28,av91089003,8.480738927555054
2023-02-15 15:26:09.850000+00:00,56.8645,-158.171333333333,2.55,0.93,av91089013,5.140402650158631
