event_id,time,best_v_km_s,snr,num_stations,n_files
13,2021-07-29 08:16:19.590000+00:00,3.393939393939394,126.49344447403547,11,2
22,2021-07-29 08:40:44.620000+00:00,2.8484848484848486,130.99647731658587,11,2
31,2021-07-29 09:08:22.970000+00:00,2.484848484848485,68.06963129583053,10,2
35,2021-07-29 09:23:23.600000+00:00,2.4242424242424243,281.7156600300685,10,2
47,2021-07-29 09:52:52.550000+00:00,2.7272727272727275,3496.5299146847583,10,2
49,2021-07-29 09:54:13.630000+00:00,3.393939393939394,82.5153312221532,11,2
69,2021-07-29 10:24:42.520000+00:00,3.090909090909091,417.028708721076,11,2
70,2021-07-29 10:27:25.890000+00:00,2.8484848484848486,761.9799765918905,11,2
72,2021-07-29 10:38:28.250000+00:00,3.6969696969696972,159.5428874086614,11,2
73,2021-07-29 10:42:51.450000+00:00,2.0,10.209654130487989,5,2
77,2021-07-29 10:55:16.230000+00:00,2.606060606060606,2.714911157573501,5,2
81,2021-07-29 11:09:16.950000+00:00,2.121212121212121,7217.314889401778,11,2
95,2021-07-29 12:17:22.580000+00:00,2.0,3.6070321069089277,5,2
96,2021-07-29 12:18:29.800000+00:00,2.787878787878788,328.83837999915744,10,2
100,2021-07-29 12:32:39.070000+00:00,3.4545454545454546,298.01474678545156,11,2
105,2021-07-29 16:09:42.880000+00:00,2.8484848484848486,10316.262512154333,11,2
108,2021-07-29 16:38:28.030000+00:00,2.787878787878788,74.00060103385489,10,2
118,2021-07-29 17:33:09.360000+00:00,3.3333333333333335,84.02168661297982,9,2
122,2021-07-29 17:52:10.720000+00:00,2.606060606060606,95.13063394949553,10,2
131,2021-07-29 18:46:50.080000+00:00,3.393939393939394,78.30319584265727,5,2
137,2021-07-29 19:53:31.080000+00:00,2.242424242424242,208.74102315660986,11,2
142,2021-07-29 20:25:39.660000+00:00,3.2727272727272725,34.39636255938243,7,2
145,2021-07-29 20:33:15+00:00,2.9696969696969697,688.0302574955518,10,2
146,2021-07-29 20:34:07.480000+00:00,2.8484848484848486,7.924374800827959,5,2
