event_id,time,best_v_km_s,snr,baseline_energy,noise_percentile,num_stations,n_files
2,2021-07-29 08:03:26.930000+00:00,3.0067114093959733,530.8296903127014,9675580.136237025,50.0,9,2
9,2021-07-29 08:16:23.630000+00:00,2.469798657718121,117.95295554099611,67283872.5290216,50.0,10,2
11,2021-07-29 08:26:00.040000+00:00,2.335570469798658,7.720868078011198,7384195.567003284,50.0,6,2
15,2021-07-29 08:40:45.560000+00:00,2.6711409395973154,144.84013474354657,40492006.63984258,50.0,11,2
19,2021-07-29 09:08:20.310000+00:00,3.073825503355705,67.24031963187768,5749782.543247561,50.0,10,2
