time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-07-29T16:00:25.070000,55.150166666666664,-161.41783333333333,37.73,1.726,1
2021-07-29T17:33:07.370000,55.21933333333333,-161.05183333333332,23.67,1.406,10
2021-07-29T17:34:11.210000,55.4635,-161.103,46.78,1.784,11
2021-07-29T17:52:11.340000,55.23283333333333,-160.72583333333333,36.78,1.7,12
2021-07-29T18:14:38.820000,55.22833333333333,-161.61016666666666,11.01,1.516,13
2021-07-29T18:17:43.200000,55.148833333333336,-161.21233333333333,13.26,1.045,14
2021-07-29T18:38:15.040000,55.21366666666667,-161.1105,35.27,1.735,15
2021-07-29T18:46:52.280000,55.251666666666665,-161.08033333333333,31.85,1.532,16
2021-07-29T18:53:59.310000,54.829,-161.98783333333333,0.12,1.331,17
2021-07-29T19:12:08.200000,55.283833333333334,-161.32216666666667,22.15,2.046,18
2021-07-29T19:30:34.500000,55.4325,-161.17983333333333,22.97,1.712,19
2021-07-29T16:08:44.350000,55.263,-160.982,17.88,1.575,2
2021-07-29T20:21:47.570000,55.315,-161.16366666666667,37.62,1.729,21
2021-07-29T20:23:39.700000,55.277166666666666,-161.67366666666666,13.76,1.713,22
2021-07-29T20:25:42.010000,55.254,-161.0395,24.62,1.558,23
2021-07-29T20:33:15.910000,55.19683333333333,-160.82733333333334,15.62,3.517,25
2021-07-29T20:42:36.120000,55.202,-161.9025,8.87,0.973,26
2021-07-29T21:00:32.860000,55.205,-161.22416666666666,13.17,3.021,27
2021-07-29T21:08:25.420000,55.28516666666667,-160.779,37.67,2.012,28
2021-07-29T21:18:25.560000,55.2495,-160.93266666666668,30.64,2.09,29
2021-07-29T16:09:42.560000,55.218833333333336,-160.81933333333333,16.64,3.212,3
2021-07-29T21:39:49.160000,55.242666666666665,-161.18,15.3,2.471,30
2021-07-29T22:02:22.060000,55.25333333333333,-160.96933333333334,23.79,1.497,31
2021-07-29T22:56:33.040000,55.23916666666667,-160.55,22.03,2.082,33
2021-07-29T23:38:45.550000,55.2755,-160.80116666666666,38.86,2.258,34
2021-07-29T17:04:01.070000,55.255,-161.96783333333335,47.34,1.535,6
2021-07-29T17:08:13.260000,55.3565,-161.80016666666666,13.39,1.479,7
2021-07-29T17:23:00.100000,55.2185,-161.3325,17.34,1.544,8
