id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,2021-09-25T06:23:05.720000,P,0.57,8.978358323474822e-07,3,0.006785971841712931
AV.DEER..BH,2021-09-25T06:23:11.680000,S,0.604,8.978358323474822e-07,3,0.006962506968873307
AV.DOL..BH,2021-09-25T05:05:45.880000,P,0.669,8.07750666353968e-07,-1,-1.0
AV.DOL..BH,2021-09-25T06:02:09.480000,P,0.592,8.933865274229902e-07,-1,-1.0
AV.DOL..BH,2021-09-25T06:10:10.780000,P,0.863,6.857158041384537e-07,-1,-1.0
AV.DOL..BH,2021-09-25T06:22:19.860000,P,0.941,7.669849537705886e-07,-1,-1.0
AV.DOL..BH,2021-09-25T07:41:18.060000,P,0.911,6.423673539757147e-07,-1,-1.0
AV.DOL..BH,2021-09-25T04:22:19.900000,S,0.7,8.227971193264239e-07,-1,-1.0
AV.DOL..BH,2021-09-25T06:10:42.200000,S,0.588,5.953224331278761e-07,-1,-1.0
AV.DOL..BH,2021-09-25T06:22:57.840000,S,0.796,2.336154466320295e-06,2,0.006785971841712931
AV.DOL..BH,2021-09-25T07:41:54.100000,S,0.587,1.6480317981404369e-06,-1,-1.0
AV.DT1..BH,2021-09-25T06:22:27.180000,P,0.802,4.0427968883705045e-07,1,0.006785971841712931
AV.DT1..BH,2021-09-25T07:41:23.560000,P,0.836,9.816135388973637e-07,4,0.006785971841712931
AV.DTN..BH,2021-09-25T06:22:27.500000,P,0.62,9.124348139266658e-07,1,0.006962506968873307
AV.HAG..SH,2021-09-25T04:00:00.020000,P,0.807,2.393394424871076e-07,-1,-1.0
AV.HAG..SH,2021-09-25T06:23:02.880000,S,0.556,2.7249386675975984e-06,3,0.0007556991829233881
AV.PN7A..BH,2021-09-25T06:22:25.900000,P,0.869,1.6165038232429652e-06,1,0.0007556991829233881
AV.PS1A..BH,2021-09-25T06:22:19.740000,P,0.726,1.7993777419178514e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T07:41:23.180000,P,0.861,1.4153827123664089e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T06:22:57.340000,S,0.595,1.7438219401810784e-06,2,0.006962506968873307
AV.PS4A..BH,2021-09-25T06:22:21.680000,P,0.648,2.251307023470872e-06,1,0.0006435214562570587
AV.PS4A..BH,2021-09-25T06:23:01.200000,S,0.568,3.854594524455024e-06,3,0.0006435214562570587
AV.PV6A..SH,2021-09-25T06:22:25.540000,P,0.733,2.3638841639694877e-07,1,0.0009013724283072621
AV.PV6A..SH,2021-09-25T07:41:28.400000,P,0.771,2.0550480428482842e-07,4,0.006962506968873307
AV.PVV..SH,2021-09-25T06:22:57.820000,S,0.749,1.3671675560544827e-06,2,0.0007556991829233881
AV.S12K..BH,2021-09-25T06:22:29.540000,P,0.873,7.742158913970343e-07,1,0.00579557958742859
AV.S12K..BH,2021-09-25T07:41:32.460000,P,0.834,8.655655392431072e-07,4,0.0007556991829233881
AV.S12K..BH,2021-09-25T06:23:12.400000,S,0.723,1.8767509573081045e-06,3,0.0009013724283072621
AV.S12K..BH,2021-09-25T07:41:43.820000,S,0.559,1.002057729238004e-06,4,0.0006435214562570587
