time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-09-25T03:58:18.566,1.030,-161.445,54.904,0.000,1.181,0.283,0.001,6.000,1
2021-09-25T03:58:58.998,0.023,-161.801,55.156,0.000,0.672,0.579,0.232,3.000,2
2021-09-25T04:33:07.576,0.801,-161.984,55.544,13249.641,0.000,0.247,-0.000,3.354,3
2021-09-25T04:33:11.626,1.190,-161.502,54.904,0.000,0.503,0.251,0.116,5.646,4
2021-09-25T04:50:38.836,0.316,-162.449,55.077,16977.534,0.344,0.512,-0.053,4.115,5
