id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,2021-09-25T04:33:19.020000,P,0.92,6.697298999824852e-07,3,0.009341938761023917
AV.DEER..BH,2021-09-25T04:50:42.640000,P,0.753,5.706721140086302e-07,5,0.009341938761023917
AV.DEER..BH,2021-09-25T04:34:00.960000,S,0.564,6.203467250998074e-07,-1,-1.0
AV.DEER..BH,2021-09-25T04:34:13.280000,S,0.599,5.573169232775399e-07,-1,-1.0
AV.DEER..BH,2021-09-25T04:51:02.260000,S,0.788,1.063711010829138e-06,-1,-1.0
AV.DOL..BH,2021-09-25T03:28:50.200000,P,0.633,6.082512982175103e-07,-1,-1.0
AV.DOL..BH,2021-09-25T03:58:23.020000,P,0.865,5.675354941558908e-07,1,0.009341938761023917
AV.DOL..BH,2021-09-25T04:33:15.340000,P,0.928,9.858187013378483e-07,3,0.001961232239272576
AV.DOL..BH,2021-09-25T04:49:04.800000,P,0.559,4.691721073868394e-07,-1,-1.0
AV.DOL..BH,2021-09-25T04:50:45.660000,P,0.913,5.919924888075911e-07,5,0.001961232239272576
AV.DOL..BH,2021-09-25T03:58:59.360000,S,0.584,1.1344865242790547e-06,2,0.009341938761023917
AV.DOL..BH,2021-09-25T04:33:52.660000,S,0.734,1.5282129197657923e-06,-1,-1.0
AV.DOL..BH,2021-09-25T04:51:08.420000,S,0.812,1.2353715419521905e-06,-1,-1.0
AV.DT1..BH,2021-09-25T03:58:27.740000,P,0.737,6.885617835905578e-07,1,0.001961232239272576
AV.DT1..BH,2021-09-25T04:33:20.620000,P,0.944,7.004613848948793e-07,4,0.009341938761023917
AV.DT1..BH,2021-09-25T04:50:42.180000,P,0.959,4.670129669648304e-07,5,0.0007913776867606217
AV.DT1..BH,2021-09-25T03:59:08.820000,S,0.632,9.60111606218561e-07,2,0.001961232239272576
AV.DT1..BH,2021-09-25T04:51:01.980000,S,0.868,8.245876870205393e-07,-1,-1.0
AV.DTN..BH,2021-09-25T03:58:29.100000,P,0.725,1.100296685763169e-06,1,0.0007913776867606217
AV.DTN..BH,2021-09-25T04:33:21.540000,P,0.92,8.357393426194903e-07,4,0.001961232239272576
AV.DTN..BH,2021-09-25T04:34:05.120000,S,0.562,1.6055479363785707e-06,-1,-1.0
AV.HAG..SH,2021-09-25T02:00:00.020000,P,0.566,2.0291496127811118e-07,-1,-1.0
AV.HAG..SH,2021-09-25T03:58:28.240000,P,0.736,6.08048480899015e-07,1,0.0005160982992740237
AV.HAG..SH,2021-09-25T04:33:20.160000,P,0.665,6.118523288023425e-07,4,0.0007913776867606217
AV.PN7A..BH,2021-09-25T02:47:08.860000,P,0.826,1.34499850901193e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:23:37.800000,P,0.805,1.283321466871712e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:24:07.000000,P,0.828,1.0558420626693987e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:25:10.840000,P,0.814,1.7800540490497951e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:33:10.700000,P,0.837,1.5711182186350925e-06,3,0.0007913776867606217
AV.PN7A..BH,2021-09-25T04:43:50.620000,P,0.571,1.2806140148313716e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:23:40.320000,S,0.633,1.283321466871712e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:25:13.900000,S,0.676,1.7800540490497951e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T04:33:12.980000,S,0.646,1.956688038262655e-06,3,0.0005160982992740237
AV.PS1A..BH,2021-09-25T03:58:27.820000,P,0.738,1.7967157646125995e-06,1,0.0006746048787137579
AV.PS1A..BH,2021-09-25T04:33:20.860000,P,0.849,1.882726905932941e-06,4,0.0005160982992740237
AV.PS4A..BH,2021-09-25T04:56:52.620000,P,0.944,1.2356050547168709e-06,-1,-1.0
AV.PV6A..SH,2021-09-25T03:58:32.720000,P,0.624,2.332683521899526e-07,1,0.0005319347164436828
AV.PV6A..SH,2021-09-25T04:50:49.240000,P,0.813,1.603539772077056e-07,5,0.0005160982992740237
AV.PV6A..SH,2021-09-25T03:59:16.300000,S,0.707,6.168185109345359e-07,-1,-1.0
AV.PVV..SH,2021-09-25T03:59:05.980000,S,0.595,4.300005969071208e-07,2,0.0007913776867606217
AV.S12K..BH,2021-09-25T04:33:29.960000,P,0.611,8.650770269014174e-07,-1,-1.0
AV.S12K..BH,2021-09-25T04:34:18.780000,P,0.625,1.1210912589376676e-06,-1,-1.0
AV.S12K..BH,2021-09-25T04:50:50.940000,P,0.821,1.0162929129364784e-06,5,0.0006746048787137579
