station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DOL..BH,2021-09-25T01:00:00.000,230703,2021-09-25T02:16:54.060,0.587,P,2021-09-25T01-00-00.mseed,7.532294148404617e-07,7.532294148404617e-07
AV.DT1..BH,2021-09-25T01:00:00.000,136955,2021-09-25T01:45:39.100,0.393,P,2021-09-25T01-00-00.mseed,5.695152935913939e-07,5.695152935913939e-07
AV.DT1..BH,2021-09-25T01:00:00.000,353186,2021-09-25T02:57:43.720,0.4,P,2021-09-25T01-00-00.mseed,4.522714220911439e-07,4.522714220911439e-07
AV.DT1..BH,2021-09-25T01:00:00.000,140638,2021-09-25T01:46:52.760,0.357,S,2021-09-25T01-00-00.mseed,5.182188260732801e-07,5.182188260732801e-07
AV.DTN..BH,2021-09-25T01:00:00.000,136955,2021-09-25T01:45:39.100,0.686,P,2021-09-25T01-00-00.mseed,7.603900371577765e-07,7.603900371577765e-07
AV.DTN..BH,2021-09-25T01:00:00.000,140658,2021-09-25T01:46:53.160,0.357,S,2021-09-25T01-00-00.mseed,1.1901742027475848e-06,1.1901742027475848e-06
AV.HAG..SH,2021-09-25T01:00:00.000,1,2021-09-25T01:00:00.020,0.689,P,2021-09-25T01-00-00.mseed,1.7527773366055044e-07,1.7527773366055044e-07
AV.HAG..SH,2021-09-25T01:00:00.000,66330,2021-09-25T01:22:06.600,0.804,P,2021-09-25T01-00-00.mseed,1.1852475836349186e-06,1.1852475836349186e-06
AV.HAG..SH,2021-09-25T01:00:00.000,136808,2021-09-25T01:45:36.160,0.32,P,2021-09-25T01-00-00.mseed,2.1417064033357747e-07,2.1417064033357747e-07
AV.HAG..SH,2021-09-25T01:00:00.000,284176,2021-09-25T02:34:43.520,0.325,P,2021-09-25T01-00-00.mseed,1.6816809988995374e-07,1.6816809988995374e-07
AV.HAG..SH,2021-09-25T01:00:00.000,27173,2021-09-25T01:09:03.460,0.302,S,2021-09-25T01-00-00.mseed,3.315882679544302e-07,3.315882679544302e-07
AV.HAG..SH,2021-09-25T01:00:00.000,41882,2021-09-25T01:13:57.640,0.342,S,2021-09-25T01-00-00.mseed,2.9747610597041785e-07,2.9747610597041785e-07
AV.PN7A..BH,2021-09-25T01:00:00.000,8266,2021-09-25T01:02:45.320,0.41,P,2021-09-25T01-00-00.mseed,1.138083007390378e-06,1.138083007390378e-06
AV.PN7A..BH,2021-09-25T01:00:00.000,41822,2021-09-25T01:13:56.440,0.476,P,2021-09-25T01-00-00.mseed,1.0698333881009603e-06,1.0698333881009603e-06
AV.PN7A..BH,2021-09-25T01:00:00.000,48814,2021-09-25T01:16:16.280,0.688,P,2021-09-25T01-00-00.mseed,2.0207617126288824e-06,2.0207617126288824e-06
AV.PN7A..BH,2021-09-25T01:00:00.000,65111,2021-09-25T01:21:42.220,0.578,S,2021-09-25T01-00-00.mseed,1.5378715261249454e-06,1.5378715261249454e-06
AV.PS1A..BH,2021-09-25T01:00:00.000,8267,2021-09-25T01:02:45.340,0.802,P,2021-09-25T01-00-00.mseed,1.706743091745011e-06,1.706743091745011e-06
AV.PS1A..BH,2021-09-25T01:00:00.000,39650,2021-09-25T01:13:13.000,0.368,P,2021-09-25T01-00-00.mseed,1.650751187298738e-06,1.650751187298738e-06
AV.PS1A..BH,2021-09-25T01:00:00.000,48832,2021-09-25T01:16:16.640,0.642,P,2021-09-25T01-00-00.mseed,1.9780445654760115e-06,1.9780445654760115e-06
AV.PS1A..BH,2021-09-25T01:00:00.000,27458,2021-09-25T01:09:09.160,0.373,S,2021-09-25T01-00-00.mseed,1.4031389810043038e-06,1.4031389810043038e-06
AV.PS1A..BH,2021-09-25T01:00:00.000,65746,2021-09-25T01:21:54.920,0.555,S,2021-09-25T01-00-00.mseed,2.347193458263064e-06,2.347193458263064e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,21500,2021-09-25T01:07:10.000,0.622,P,2021-09-25T01-00-00.mseed,1.372288124912302e-06,1.372288124912302e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,27067,2021-09-25T01:09:01.340,0.555,P,2021-09-25T01-00-00.mseed,1.8742904330792953e-06,1.8742904330792953e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,38911,2021-09-25T01:12:58.220,0.319,P,2021-09-25T01-00-00.mseed,8.357257001989638e-07,8.357257001989638e-07
AV.PS4A..BH,2021-09-25T01:00:00.000,50859,2021-09-25T01:16:57.180,0.779,P,2021-09-25T01-00-00.mseed,1.780244019755628e-06,1.780244019755628e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,65446,2021-09-25T01:21:48.920,0.62,P,2021-09-25T01-00-00.mseed,1.6109879652503878e-06,1.6109879652503878e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,8514,2021-09-25T01:02:50.280,0.44,S,2021-09-25T01-00-00.mseed,1.7222245105585898e-06,1.7222245105585898e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,21775,2021-09-25T01:07:15.500,0.434,S,2021-09-25T01-00-00.mseed,1.554443770146463e-06,1.554443770146463e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,27318,2021-09-25T01:09:06.360,0.353,S,2021-09-25T01-00-00.mseed,1.8742904330792953e-06,1.8742904330792953e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,41940,2021-09-25T01:13:58.800,0.4,S,2021-09-25T01-00-00.mseed,1.1072578445237014e-06,1.1072578445237014e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,48984,2021-09-25T01:16:19.680,0.525,S,2021-09-25T01-00-00.mseed,1.267809466298786e-06,1.267809466298786e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,51070,2021-09-25T01:17:01.400,0.38,S,2021-09-25T01-00-00.mseed,8.029541618270741e-07,8.029541618270741e-07
AV.PS4A..BH,2021-09-25T01:00:00.000,51128,2021-09-25T01:17:02.560,0.335,S,2021-09-25T01-00-00.mseed,1.780244019755628e-06,1.780244019755628e-06
AV.PS4A..BH,2021-09-25T01:00:00.000,63382,2021-09-25T01:21:07.640,0.305,S,2021-09-25T01-00-00.mseed,2.4791281703073764e-06,2.4791281703073764e-06
AV.PV6A..SH,2021-09-25T01:00:00.000,1,2021-09-25T01:00:00.020,0.723,P,2021-09-25T01-00-00.mseed,1.120453489988904e-07,1.120453489988904e-07
AV.PV6A..SH,2021-09-25T01:00:00.000,8576,2021-09-25T01:02:51.520,0.448,P,2021-09-25T01-00-00.mseed,2.4394918796133425e-07,2.4394918796133425e-07
AV.PV6A..SH,2021-09-25T01:00:00.000,48968,2021-09-25T01:16:19.360,0.325,P,2021-09-25T01-00-00.mseed,1.9134056117309228e-07,1.9134056117309228e-07
AV.PV6A..SH,2021-09-25T01:00:00.000,49282,2021-09-25T01:16:25.640,0.369,S,2021-09-25T01-00-00.mseed,3.293182828656427e-07,3.293182828656427e-07
AV.PVV..SH,2021-09-25T01:00:00.000,9074,2021-09-25T01:03:01.480,0.319,P,2021-09-25T01-00-00.mseed,5.562361025113205e-07,5.562361025113205e-07
AV.PVV..SH,2021-09-25T01:00:00.000,48784,2021-09-25T01:16:15.680,0.351,P,2021-09-25T01-00-00.mseed,4.651555229884252e-07,4.651555229884252e-07
