time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-09-25T01:02:41.611,0.601,-161.834,55.612,7.867,0.089,0.251,0.014,3.863,1
2021-09-25T01:07:02.465,1.001,-161.385,55.471,30597.703,0.000,0.269,0.000,3.000,2
2021-09-25T01:08:55.358,0.930,-162.235,55.107,0.000,0.603,0.378,0.140,3.999,3
2021-09-25T01:13:51.648,0.345,-162.113,55.197,8405.778,0.000,0.314,-0.000,3.999,4
2021-09-25T01:16:09.049,0.861,-161.762,55.014,0.000,0.513,0.340,-0.093,6.999,5
