time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-01-03T12:41:26.190000,54.96333333333333,-162.30583333333334,10.63,1.771,100
2021-02-03T21:42:16.640000,55.0715,-161.60333333333332,20.28,0.658,1001
2021-02-03T22:08:43.760000,55.318333333333335,-161.75433333333334,6.37,0.207,1002
2021-02-03T22:17:17.700000,55.30416666666667,-161.32866666666666,22.39,1.265,1003
2021-02-04T12:19:23.700000,54.837,-162.65683333333334,31.64,1.968,1020
2021-02-04T12:19:41.050000,54.974,-162.3145,9.71,2.29,1021
2021-02-04T12:39:00.910000,55.276666666666664,-162.94416666666666,29.69,1.489,1022
2021-02-04T14:11:48.640000,54.9335,-162.23933333333332,4.01,0.795,1023
2021-01-03T17:22:36.610000,55.3735,-161.8275,30.43,-0.171,103
2021-02-05T04:19:25.580000,55.30316666666667,-161.67,6.09,0.316,1032
2021-02-05T16:09:24.960000,55.19866666666667,-161.9545,23.63,1.392,1039
2021-01-03T17:45:13.890000,54.8095,-161.24366666666666,27.93,1.749,105
2021-02-05T21:44:55.400000,54.43666666666667,-160.84833333333333,5.98,1.862,1050
2021-02-05T21:45:15.050000,54.900666666666666,-161.51666666666668,12.79,1.628,1051
2021-02-06T00:21:29.560000,55.247166666666665,-162.58516666666668,5.0,1.48,1052
2021-02-06T05:02:58.110000,54.933166666666665,-160.48083333333332,57.45,1.437,1055
2021-02-06T06:03:48.100000,55.076166666666666,-162.9045,25.28,1.249,1059
2021-02-06T06:04:04.060000,54.81616666666667,-162.817,1.35,1.268,1060
2021-02-06T07:15:27.980000,55.09466666666667,-161.74616666666665,21.67,0.526,1062
2021-02-06T12:04:44.260000,55.029,-161.612,22.45,2.621,1064
2021-02-06T16:50:21.880000,55.190666666666665,-162.16083333333333,37.12,1.891,1070
2021-02-06T18:39:48.870000,54.59883333333333,-161.2465,10.16,4.47,1071
2021-02-06T19:35:53.910000,54.58533333333333,-161.2965,13.93,2.617,1072
2021-02-06T19:50:07.910000,54.577,-161.29433333333333,13.8,2.073,1073
2021-02-06T20:12:22.710000,54.5705,-161.30683333333334,29.04,1.604,1074
2021-02-06T20:19:18.210000,54.57983333333333,-161.28816666666665,14.8,2.223,1076
2021-02-07T00:37:48.130000,55.311166666666665,-161.69,1.83,0.172,1080
2021-02-07T01:58:56.540000,54.57216666666667,-161.3565,29.35,1.493,1085
2021-01-03T19:56:26.080000,54.95433333333333,-161.4105,19.1,2.052,109
2021-02-07T04:49:38.570000,55.32966666666667,-161.18433333333334,34.36,2.257,1091
2021-02-07T07:59:53.620000,55.411,-162.23583333333335,24.21,1.455,1095
2021-02-07T17:57:19.320000,55.07983333333333,-161.78883333333334,15.48,1.376,1100
2021-02-07T19:33:54.560000,55.17016666666667,-161.8875,4.55,1.379,1103
2021-02-07T20:17:45.390000,54.815333333333335,-161.09216666666666,31.44,2.504,1105
2021-02-07T20:25:03.690000,55.10616666666667,-161.637,1.54,1.455,1107
2021-02-07T21:56:42.020000,54.96516666666667,-162.2345,3.28,0.96,1108
2021-02-08T04:17:58.520000,55.2985,-162.17366666666666,15.48,1.955,1113
2021-02-08T07:14:46.040000,55.353833333333334,-162.146,29.04,1.436,1120
2021-02-08T11:27:36.840000,54.593833333333336,-161.30366666666666,30.43,1.677,1124
2021-02-08T12:00:58.860000,55.295833333333334,-161.83216666666667,2.01,-0.281,1127
2021-02-08T12:35:30.340000,54.9875,-162.20283333333333,1.41,0.878,1128
2021-02-08T23:58:42.130000,54.802,-161.33116666666666,61.6,1.594,1140
2021-02-09T00:16:46.490000,55.45183333333333,-161.85833333333332,28.71,1.113,1142
2021-02-09T08:02:10.790000,54.54933333333334,-162.462,19.11,1.767,1151
2021-02-09T08:45:36.550000,55.01,-161.57616666666667,21.99,1.851,1154
2021-02-09T10:13:13.430000,54.89983333333333,-160.24183333333335,23.25,3.379,1156
2021-02-09T20:43:57.490000,54.590833333333336,-162.53333333333333,64.23,2.071,1165
2021-02-09T21:31:51.780000,55.12233333333333,-161.826,8.92,1.328,1166
2021-02-09T23:45:28.270000,54.903166666666664,-161.4055,66.09,1.586,1170
2021-02-10T06:08:50.240000,54.62083333333333,-161.3275,30.54,1.459,1173
2021-02-10T11:42:19.110000,55.16683333333334,-161.721,17.62,2.021,1178
2021-01-04T00:02:58.000000,55.520833333333336,-161.32883333333334,16.01,1.558,118
2021-02-10T21:08:45.360000,55.19583333333333,-162.00483333333332,5.17,2.05,1183
2021-02-11T18:03:28.270000,55.27183333333333,-161.43316666666666,4.04,1.031,1192
2021-02-11T20:37:10.230000,55.455,-162.07216666666667,7.46,1.761,1195
2021-02-11T22:27:49.950000,55.121833333333335,-160.4995,55.94,2.719,1196
2021-02-12T14:15:03.740000,54.8715,-161.32966666666667,30.72,2.635,1198
2021-02-12T14:15:28.960000,55.167,-161.97266666666667,3.92,1.979,1199
2021-01-04T00:33:12.700000,54.670833333333334,-160.69333333333333,10.6,2.092,120
2021-02-12T15:10:07.870000,54.594833333333334,-161.30383333333333,29.47,2.036,1200
2021-02-12T16:15:03.920000,55.15683333333333,-161.8755,28.65,1.913,1201
2021-02-13T09:56:47.050000,55.15716666666667,-161.75283333333334,20.75,0.995,1208
2021-02-13T13:09:46.410000,55.3455,-161.06733333333332,31.42,3.276,1209
2021-02-13T13:10:39.620000,55.4205,-161.9775,22.1,2.835,1210
2021-02-13T14:15:28.860000,55.04366666666667,-162.17716666666666,3.17,1.759,1212
2021-02-13T19:09:54.490000,54.54533333333333,-161.76833333333335,12.46,1.978,1214
2021-02-14T00:24:32.090000,54.93683333333333,-161.05316666666667,62.26,2.388,1215
2021-02-14T00:51:17.470000,55.14533333333333,-163.26516666666666,15.32,2.711,1216
2021-02-14T03:53:26.740000,54.52733333333333,-162.26533333333333,63.32,2.248,1221
2021-02-14T08:10:58.270000,55.07416666666666,-160.4725,81.44,2.464,1222
2021-02-14T09:09:53.440000,55.264,-162.05666666666667,15.04,0.783,1224
2021-02-14T09:46:14.060000,55.24033333333333,-161.73933333333332,18.98,1.939,1225
2021-02-14T17:55:14.800000,55.567166666666665,-161.45333333333335,18.98,1.172,1228
2021-01-04T01:40:58.450000,55.57483333333333,-160.31783333333334,9.93,1.875,123
