station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DEER..BH,2021-07-29T16:00:00.000,927838,2021-07-29T21:09:16.760,0.433,P,2021-07-29T16-00-00.mseed,2.82124824479979e-06,2.82124824479979e-06
AV.DEER..BH,2021-07-29T16:00:00.000,955991,2021-07-29T21:18:39.820,0.936,P,2021-07-29T16-00-00.mseed,2.267827767354902e-06,2.267827767354902e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1020062,2021-07-29T21:40:01.240,0.814,P,2021-07-29T16-00-00.mseed,8.606343726569321e-06,8.606343726569321e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1087810,2021-07-29T22:02:36.200,0.334,P,2021-07-29T16-00-00.mseed,1.072102918442397e-06,1.072102918442397e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1137694,2021-07-29T22:19:13.880,0.798,P,2021-07-29T16-00-00.mseed,7.571518381155329e-06,7.571518381155329e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1250527,2021-07-29T22:56:50.540,0.917,P,2021-07-29T16-00-00.mseed,1.566870878377813e-06,1.566870878377813e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1252460,2021-07-29T22:57:29.200,0.688,P,2021-07-29T16-00-00.mseed,4.2022020352305844e-06,4.2022020352305844e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1377060,2021-07-29T23:39:01.200,0.698,P,2021-07-29T16-00-00.mseed,2.7541555027710274e-06,2.7541555027710274e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1378764,2021-07-29T23:39:35.280,0.354,P,2021-07-29T16-00-00.mseed,9.722380127641372e-06,9.722380127641372e-06
AV.DEER..BH,2021-07-29T16:00:00.000,83602,2021-07-29T16:27:52.040,0.321,S,2021-07-29T16-00-00.mseed,1.314488258685742e-06,1.314488258685742e-06
AV.DEER..BH,2021-07-29T16:00:00.000,116664,2021-07-29T16:38:53.280,0.567,S,2021-07-29T16-00-00.mseed,1.118755108109326e-06,1.118755108109326e-06
AV.DEER..BH,2021-07-29T16:00:00.000,183719,2021-07-29T17:01:14.380,0.399,S,2021-07-29T16-00-00.mseed,6.4896871663222555e-06,6.4896871663222555e-06
AV.DEER..BH,2021-07-29T16:00:00.000,281985,2021-07-29T17:33:59.700,0.31,S,2021-07-29T16-00-00.mseed,1.2937896372022806e-06,1.2937896372022806e-06
AV.DEER..BH,2021-07-29T16:00:00.000,284780,2021-07-29T17:34:55.600,0.389,S,2021-07-29T16-00-00.mseed,2.8626436687773094e-06,2.8626436687773094e-06
AV.DEER..BH,2021-07-29T16:00:00.000,321205,2021-07-29T17:47:04.100,0.673,S,2021-07-29T16-00-00.mseed,8.510862130606256e-07,8.510862130606256e-07
AV.DEER..BH,2021-07-29T16:00:00.000,405926,2021-07-29T18:15:18.520,0.335,S,2021-07-29T16-00-00.mseed,3.1088893592823297e-06,3.1088893592823297e-06
AV.DEER..BH,2021-07-29T16:00:00.000,415658,2021-07-29T18:18:33.160,0.393,S,2021-07-29T16-00-00.mseed,1.3847741229255917e-06,1.3847741229255917e-06
AV.DEER..BH,2021-07-29T16:00:00.000,476782,2021-07-29T18:38:55.640,0.573,S,2021-07-29T16-00-00.mseed,3.5852574455930153e-06,3.5852574455930153e-06
AV.DEER..BH,2021-07-29T16:00:00.000,477276,2021-07-29T18:39:05.520,0.343,S,2021-07-29T16-00-00.mseed,2.3163840978668304e-06,2.3163840978668304e-06
AV.DEER..BH,2021-07-29T16:00:00.000,522412,2021-07-29T18:54:08.240,0.704,S,2021-07-29T16-00-00.mseed,2.7176336061529582e-06,2.7176336061529582e-06
AV.DEER..BH,2021-07-29T16:00:00.000,577474,2021-07-29T19:12:29.480,0.312,S,2021-07-29T16-00-00.mseed,4.9297677833237685e-06,4.9297677833237685e-06
AV.DEER..BH,2021-07-29T16:00:00.000,579452,2021-07-29T19:13:09.040,0.342,S,2021-07-29T16-00-00.mseed,1.5112544133444317e-05,1.5112544133444317e-05
AV.DEER..BH,2021-07-29T16:00:00.000,634979,2021-07-29T19:31:39.580,0.349,S,2021-07-29T16-00-00.mseed,1.7308893802692182e-06,1.7308893802692182e-06
AV.DEER..BH,2021-07-29T16:00:00.000,701763,2021-07-29T19:53:55.260,0.674,S,2021-07-29T16-00-00.mseed,1.3677415608981391e-06,1.3677415608981391e-06
AV.DEER..BH,2021-07-29T16:00:00.000,788586,2021-07-29T20:22:51.720,0.442,S,2021-07-29T16-00-00.mseed,3.6344129057397367e-06,3.6344129057397367e-06
AV.DEER..BH,2021-07-29T16:00:00.000,793338,2021-07-29T20:24:26.760,0.342,S,2021-07-29T16-00-00.mseed,4.132532012590673e-06,4.132532012590673e-06
AV.DEER..BH,2021-07-29T16:00:00.000,816362,2021-07-29T20:32:07.240,0.307,S,2021-07-29T16-00-00.mseed,4.177626033197157e-05,4.177626033197157e-05
AV.DEER..BH,2021-07-29T16:00:00.000,850087,2021-07-29T20:43:21.740,0.321,S,2021-07-29T16-00-00.mseed,2.5481463126197923e-06,2.5481463126197923e-06
AV.DEER..BH,2021-07-29T16:00:00.000,956465,2021-07-29T21:18:49.300,0.727,S,2021-07-29T16-00-00.mseed,2.267827767354902e-06,2.267827767354902e-06
AV.DEER..BH,2021-07-29T16:00:00.000,958158,2021-07-29T21:19:23.160,0.58,S,2021-07-29T16-00-00.mseed,2.3246577711688587e-06,2.3246577711688587e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1022376,2021-07-29T21:40:47.520,0.499,S,2021-07-29T16-00-00.mseed,3.162476059515029e-05,3.162476059515029e-05
AV.DEER..BH,2021-07-29T16:00:00.000,1139952,2021-07-29T22:19:59.040,0.308,S,2021-07-29T16-00-00.mseed,4.341134990681894e-05,4.341134990681894e-05
AV.DEER..BH,2021-07-29T16:00:00.000,1250997,2021-07-29T22:56:59.940,0.739,S,2021-07-29T16-00-00.mseed,2.0334844066383084e-06,2.0334844066383084e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1253112,2021-07-29T22:57:42.240,0.451,S,2021-07-29T16-00-00.mseed,7.483344688807847e-06,7.483344688807847e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1378768,2021-07-29T23:39:35.360,0.313,S,2021-07-29T16-00-00.mseed,8.686313776706811e-06,8.686313776706811e-06
AV.DEER..BH,2021-07-29T16:00:00.000,1379296,2021-07-29T23:39:45.920,0.383,S,2021-07-29T16-00-00.mseed,1.3294003110786434e-05,1.3294003110786434e-05
AV.DOL..BH,2021-07-29T16:00:00.000,1531,2021-07-29T16:00:30.620,0.884,P,2021-07-29T16-00-00.mseed,1.632972271181643e-06,1.632972271181643e-06
AV.DOL..BH,2021-07-29T16:00:00.000,26708,2021-07-29T16:08:54.160,0.522,P,2021-07-29T16-00-00.mseed,1.3906826552556595e-06,1.3906826552556595e-06
AV.DOL..BH,2021-07-29T16:00:00.000,29693,2021-07-29T16:09:53.860,0.932,P,2021-07-29T16-00-00.mseed,7.004210783634335e-05,7.004210783634335e-05
AV.DOL..BH,2021-07-29T16:00:00.000,31399,2021-07-29T16:10:27.980,0.45,P,2021-07-29T16-00-00.mseed,0.000176090223249048,0.000176090223249048
AV.DOL..BH,2021-07-29T16:00:00.000,92932,2021-07-29T16:30:58.640,0.4,P,2021-07-29T16-00-00.mseed,2.2205279037734726e-06,2.2205279037734726e-06
AV.DOL..BH,2021-07-29T16:00:00.000,116024,2021-07-29T16:38:40.480,0.81,P,2021-07-29T16-00-00.mseed,2.007573584705824e-06,2.007573584705824e-06
AV.DOL..BH,2021-07-29T16:00:00.000,181635,2021-07-29T17:00:32.700,0.777,P,2021-07-29T16-00-00.mseed,4.187155354884453e-06,4.187155354884453e-06
AV.DOL..BH,2021-07-29T16:00:00.000,192415,2021-07-29T17:04:08.300,0.76,P,2021-07-29T16-00-00.mseed,1.3033121604166809e-06,1.3033121604166809e-06
AV.DOL..BH,2021-07-29T16:00:00.000,193586,2021-07-29T17:04:31.720,0.399,P,2021-07-29T16-00-00.mseed,2.9530044685088797e-06,2.9530044685088797e-06
AV.DOL..BH,2021-07-29T16:00:00.000,224962,2021-07-29T17:14:59.240,0.823,P,2021-07-29T16-00-00.mseed,1.1539162869667052e-06,1.1539162869667052e-06
AV.DOL..BH,2021-07-29T16:00:00.000,249330,2021-07-29T17:23:06.600,0.548,P,2021-07-29T16-00-00.mseed,2.0145207599853165e-06,2.0145207599853165e-06
AV.DOL..BH,2021-07-29T16:00:00.000,266064,2021-07-29T17:28:41.280,0.792,P,2021-07-29T16-00-00.mseed,5.620738193101715e-06,5.620738193101715e-06
