time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-07-29T07:59:48.780,2.964,-162.283,55.397,61000.000,0.459,0.335,-0.027,11.869,1
2021-07-29T08:03:24.885,2.552,-162.049,55.442,60149.270,0.505,0.288,-0.037,11.897,2
2021-07-29T08:09:30.003,2.356,-161.378,55.134,44046.183,0.837,0.478,0.138,7.000,3
2021-07-29T08:13:27.633,2.151,-161.375,55.356,37588.997,0.454,0.568,-0.035,6.598,4
2021-07-29T08:16:23.769,2.563,-161.427,55.227,32328.727,0.376,0.273,0.048,10.317,5
2021-07-29T08:17:46.419,2.283,-161.702,55.363,48401.102,0.174,0.459,-0.027,6.000,6
2021-07-29T08:25:59.735,2.602,-161.429,55.391,61000.000,0.451,0.188,0.002,6.842,7
2021-07-29T08:40:46.488,2.670,-161.377,55.251,61000.000,0.708,0.232,-0.003,15.000,8
2021-07-29T08:55:57.433,2.150,-161.524,55.034,15091.117,0.340,0.188,0.005,5.426,9
2021-07-29T08:58:23.011,2.019,-162.316,55.505,0.000,0.766,0.184,-0.028,8.000,10
2021-07-29T09:08:22.929,2.018,-161.378,55.138,33952.885,0.643,0.257,0.076,12.010,11
2021-07-29T09:17:38.297,2.165,-161.376,55.315,55460.647,0.564,0.243,0.003,12.444,12
2021-07-29T09:23:23.746,2.003,-161.376,55.324,58235.219,0.490,0.321,0.026,12.970,13
2021-07-29T09:26:48.617,1.776,-161.374,55.421,53981.048,0.494,0.506,0.017,8.000,14
2021-07-29T09:28:54.101,2.752,-161.509,55.320,37206.449,0.645,0.360,-0.030,13.000,15
2021-07-29T09:35:54.245,1.942,-161.381,54.910,54509.654,0.491,0.384,-0.020,6.889,16
2021-07-29T09:38:05.045,2.010,-161.521,54.991,43721.080,0.351,0.264,0.044,7.325,17
2021-07-29T09:43:53.504,1.372,-161.549,55.057,0.000,0.473,0.269,0.037,8.000,18
2021-07-29T09:45:14.984,1.990,-161.375,55.359,54905.640,0.424,0.252,0.053,7.868,19
2021-07-29T09:52:54.052,2.175,-161.378,55.252,35090.989,0.336,0.168,0.016,12.909,20
2021-07-29T09:54:13.266,2.822,-161.376,55.297,61000.000,0.699,0.185,0.003,16.000,21
2021-07-29T09:59:08.569,2.226,-161.377,55.257,61000.000,0.530,0.297,0.003,10.000,22
2021-07-29T10:02:13.822,1.761,-161.529,55.104,18691.949,0.532,0.189,0.037,9.399,23
2021-07-29T10:05:40.100,1.536,-161.638,55.206,61000.000,0.768,0.402,-0.139,6.860,24
2021-07-29T10:06:28.701,1.005,-161.561,55.278,375.282,0.458,0.436,0.090,5.932,25
2021-07-29T10:13:54.960,1.672,-161.783,55.369,51799.501,0.375,0.316,-0.026,8.000,26
2021-07-29T10:16:27.976,1.674,-161.378,55.142,14811.664,0.632,0.219,0.048,10.000,27
2021-07-29T10:17:51.453,1.832,-161.376,55.311,44829.459,0.796,0.227,0.047,13.000,28
2021-07-29T10:20:36.501,1.790,-161.627,55.255,61000.000,0.635,0.287,-0.081,6.000,29
2021-07-29T10:22:53.789,1.354,-161.617,55.372,31083.867,0.776,0.310,-0.005,11.000,30
2021-07-29T10:24:42.573,1.963,-161.376,55.312,61000.000,0.549,0.253,0.017,10.000,31
2021-07-29T10:27:26.531,2.087,-161.377,55.259,61000.000,0.432,0.252,0.002,12.000,32
2021-07-29T10:38:29.893,1.806,-161.376,55.335,59463.394,0.610,0.260,0.053,14.000,33
2021-07-29T10:42:49.405,1.225,-161.376,55.320,33720.709,0.222,0.471,0.047,6.000,34
2021-07-29T10:50:42.626,2.075,-161.381,54.928,61000.000,0.822,0.329,0.139,13.952,35
2021-07-29T10:54:36.220,1.329,-161.686,55.320,38191.873,0.818,0.268,0.059,9.969,36
2021-07-29T10:59:02.255,1.645,-161.664,55.339,50262.420,0.676,0.204,0.036,12.606,37
2021-07-29T11:05:27.709,1.945,-161.418,55.211,46242.708,0.804,0.209,0.011,13.000,38
2021-07-29T11:09:15.069,2.563,-161.376,55.310,61000.000,0.515,0.307,0.040,12.000,39
2021-07-29T11:16:59.365,1.887,-161.375,55.407,61000.000,0.598,0.231,-0.027,5.991,40
2021-07-29T11:24:03.426,2.053,-162.400,54.903,61000.000,1.087,0.339,-0.061,12.823,41
2021-07-29T11:29:55.263,1.780,-161.739,55.299,26584.899,0.806,0.210,-0.020,12.867,42
2021-07-29T11:42:00.088,1.800,-161.376,55.310,61000.000,0.462,0.191,0.002,11.979,43
2021-07-29T11:48:28.910,1.468,-161.723,55.299,24582.005,0.864,0.321,-0.021,11.000,44
2021-07-29T12:17:21.980,1.343,-161.377,55.252,28780.718,0.424,0.305,0.048,8.000,45
2021-07-29T12:18:31.536,1.544,-161.786,55.319,28342.075,0.583,0.236,-0.003,11.288,46
2021-07-29T12:24:09.464,1.141,-161.801,55.434,22803.344,0.950,0.316,0.028,11.000,47
2021-07-29T12:28:50.484,2.150,-161.385,55.285,57366.163,0.650,0.260,0.015,11.000,48
2021-07-29T12:32:40.557,1.971,-161.374,55.422,61000.000,0.512,0.189,0.039,9.849,49
2021-07-29T12:43:17.993,2.462,-161.644,55.318,37360.506,0.691,0.201,0.031,16.879,50
2021-07-29T12:52:14.693,2.158,-161.376,55.282,61000.000,0.526,0.348,0.009,12.000,51
2021-07-29T13:03:40.809,1.166,-162.103,55.446,39139.934,0.174,0.299,0.027,6.000,52
2021-07-29T13:15:20.929,1.951,-161.734,55.334,41483.767,0.611,0.286,-0.031,15.000,53
2021-07-29T13:18:28.911,2.319,-161.375,55.404,54517.305,0.585,0.177,-0.023,13.000,54
2021-07-29T13:30:54.797,1.845,-161.375,55.403,61000.000,0.643,0.255,0.004,12.000,55
2021-07-29T13:48:44.244,1.701,-161.418,55.295,44494.325,0.574,0.227,0.016,12.876,56
2021-07-29T14:02:39.682,1.482,-161.376,55.298,61000.000,0.680,0.295,0.012,10.990,57
2021-07-29T14:08:16.341,1.589,-161.432,55.283,61000.000,0.461,0.155,0.009,8.233,58
2021-07-29T14:16:31.487,1.718,-161.376,55.326,60462.916,0.418,0.277,0.067,7.000,59
2021-07-29T14:20:47.797,1.493,-161.376,55.300,61000.000,0.776,0.339,-0.011,6.993,60
2021-07-29T14:48:00.642,1.419,-161.676,55.398,61000.000,0.579,0.324,-0.069,6.000,61
2021-07-29T14:49:57.269,1.474,-161.572,55.303,41516.791,0.627,0.230,0.022,12.000,62
2021-07-29T14:53:03.864,1.731,-161.563,55.373,55306.409,0.683,0.239,0.011,14.000,63
2021-07-29T14:57:04.551,0.759,-161.812,55.342,25895.168,0.564,0.409,-0.090,6.000,64
2021-07-29T14:58:33.914,1.555,-161.504,55.340,48905.673,0.700,0.228,0.026,13.000,65
2021-07-29T15:11:04.196,1.637,-161.700,54.904,61000.000,0.985,0.263,-0.010,15.000,66
2021-07-29T15:13:48.186,1.955,-161.377,55.247,61000.000,0.784,0.185,0.040,14.000,67
2021-07-29T15:30:22.607,1.722,-161.477,55.169,20667.725,0.579,0.238,0.092,11.844,68
