id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,2021-07-29T08:03:37.550000,P,0.692,1.609853825357277e-05,2,0.0014696730047907053
AV.DEER..BH,2021-07-29T08:10:17.830000,P,0.666,1.6105177564895712e-05,-1,-1.0
AV.DEER..BH,2021-07-29T08:14:59.000000,P,0.559,1.8922766685136597e-05,-1,-1.0
AV.DEER..BH,2021-07-29T08:16:35.300000,P,0.898,1.8066264601657167e-05,4,0.0014696730047907053
AV.DEER..BH,2021-07-29T08:26:15.040000,P,0.572,1.3446079719869886e-05,5,0.0014696730047907053
AV.DEER..BH,2021-07-29T08:41:01.790000,P,0.91,1.1133718544442672e-05,6,0.0014696730047907053
AV.DEER..BH,2021-07-29T08:41:36.000000,P,0.512,1.8796152289723977e-05,-1,-1.0
AV.DEER..BH,2021-07-29T09:08:34.220000,P,0.77,4.143421847402351e-06,8,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:14:49.420000,P,0.698,3.529390141920885e-06,-1,-1.0
AV.DEER..BH,2021-07-29T09:17:52.500000,P,0.583,5.420014531409834e-06,9,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:23:38.580000,P,0.686,3.659670255728997e-06,10,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:36:08.700000,P,0.758,2.8354747882985976e-06,13,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:44:01.540000,P,0.577,2.324962679267628e-06,15,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:45:29.940000,P,0.896,1.949630814124248e-06,16,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:53:06.260000,P,0.697,5.891109594813315e-06,17,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:54:28.750000,P,0.636,7.507409918616759e-06,18,0.0014696730047907053
AV.DEER..BH,2021-07-29T09:59:23.350000,P,0.571,6.2390663515543565e-06,19,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:05:52.630000,P,0.824,2.0809782199648907e-06,21,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:14:06.980000,P,0.835,2.3580703327752417e-06,22,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:16:38.080000,P,0.557,1.8070496707878192e-06,23,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:20:49.550000,P,0.537,1.8176359617427808e-06,25,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:23:04.080000,P,0.621,1.4859791690469135e-06,26,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:24:57.780000,P,0.701,1.639011429688253e-06,27,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:27:41.040000,P,0.718,3.3558690120116808e-06,28,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:34:22.240000,P,0.612,2.0287875486246776e-06,-1,-1.0
AV.DEER..BH,2021-07-29T10:38:44.990000,P,0.851,1.394405671817367e-06,29,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:50:56.300000,P,0.98,4.935289780405583e-06,31,0.0014696730047907053
AV.DEER..BH,2021-07-29T10:54:46.750000,P,0.769,1.64190566920297e-06,33,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:05:40.590000,P,0.746,1.828488620958524e-06,35,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:09:30.590000,P,0.572,4.448593244887888e-06,36,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:21:17.040000,P,0.545,9.411723453922604e-07,-1,-1.0
AV.DEER..BH,2021-07-29T11:24:12.370000,P,0.953,6.311598554020748e-06,37,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:30:04.390000,P,0.824,2.1429914340842515e-06,39,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:37:09.110000,P,0.643,8.801741273600783e-07,-1,-1.0
AV.DEER..BH,2021-07-29T11:42:15.340000,P,0.86,1.1727669289030018e-06,40,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:48:37.900000,P,0.511,1.630332917557098e-06,41,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:56:04.840000,P,0.612,8.821344295029121e-07,-1,-1.0
AV.DEER..BH,2021-07-29T12:17:33.710000,P,0.905,9.41834116474638e-07,42,0.0014696730047907053
AV.DEER..BH,2021-07-29T12:18:40.670000,P,0.852,1.7068530269170878e-06,43,0.0014696730047907053
AV.DEER..BH,2021-07-29T12:24:18.480000,P,0.556,1.3915225736127468e-06,44,0.0014696730047907053
AV.DEER..BH,2021-07-29T12:24:54.220000,P,0.571,1.979654598471825e-06,-1,-1.0
AV.DEER..BH,2021-07-29T12:29:04.860000,P,0.749,1.809817376852152e-06,45,0.0014696730047907053
AV.DEER..BH,2021-07-29T12:43:28.970000,P,0.92,5.855180006619776e-06,47,0.0014696730047907053
AV.DEER..BH,2021-07-29T13:13:12.230000,P,0.584,9.447949764762598e-07,-1,-1.0
AV.DEER..BH,2021-07-29T13:15:31.390000,P,0.802,2.798295781758497e-06,49,0.0014696730047907053
AV.DEER..BH,2021-07-29T13:18:44.310000,P,0.626,3.817504875769373e-06,50,0.0014696730047907053
AV.DEER..BH,2021-07-29T13:31:10.600000,P,0.652,1.3921242043579696e-06,51,0.0014696730047907053
AV.DEER..BH,2021-07-29T13:48:57.190000,P,0.585,1.325223024650768e-06,52,0.0014696730047907053
AV.DEER..BH,2021-07-29T14:02:54.680000,P,0.691,8.15999953829305e-07,53,0.0014696730047907053
AV.DEER..BH,2021-07-29T14:08:30.430000,P,0.613,8.80792129009933e-07,-1,-1.0
AV.DEER..BH,2021-07-29T14:16:46.870000,P,0.548,7.477012786694104e-07,55,0.0014696730047907053
AV.DEER..BH,2021-07-29T14:21:02.830000,P,0.827,7.767254714963201e-07,56,0.0014696730047907053
AV.DEER..BH,2021-07-29T14:53:17.270000,P,0.719,1.078911395779869e-06,60,0.0014696730047907053
AV.DEER..BH,2021-07-29T14:58:46.910000,P,0.763,1.0572289284027647e-06,62,0.0014696730047907053
AV.DEER..BH,2021-07-29T15:11:15.070000,P,0.946,1.385482505611435e-06,63,0.0014696730047907053
AV.DEER..BH,2021-07-29T15:14:03.470000,P,0.783,1.4832305623713182e-06,64,0.0014696730047907053
AV.DEER..BH,2021-07-29T15:21:36.360000,P,0.698,7.806874577909184e-07,65,0.0014696730047907053
AV.DEER..BH,2021-07-29T15:30:32.150000,P,0.599,1.2730713478958933e-06,66,0.0014696730047907053
AV.DEER..BH,2021-07-29T15:38:12.910000,P,0.609,9.22444996831473e-07,-1,-1.0
AV.DEER..BH,2021-07-29T15:54:33.580000,P,0.716,9.464734489483816e-07,-1,-1.0
AV.DEER..BH,2021-07-29T15:55:13.040000,P,0.685,9.110149221669416e-07,-1,-1.0
AV.DEER..BH,2021-07-29T08:10:47.740000,S,0.531,2.3586639144923535e-05,-1,-1.0
AV.DEER..BH,2021-07-29T09:27:44.570000,S,0.658,3.960636604460888e-06,-1,-1.0
AV.DEER..BH,2021-07-29T10:28:15.900000,S,0.515,4.705139872385189e-06,-1,-1.0
AV.DEER..BH,2021-07-29T10:51:08.330000,S,0.853,7.102637482603313e-06,32,0.0014696730047907053
AV.DEER..BH,2021-07-29T11:24:22.170000,S,0.732,6.311598554020748e-06,37,3.481932855959463e-05
AV.DEER..BH,2021-07-29T11:41:32.560000,S,0.623,1.2542852800834223e-06,-1,-1.0
AV.DEER..BH,2021-07-29T12:00:14.880000,S,0.67,1.4394275922313682e-06,-1,-1.0
AV.DEER..BH,2021-07-29T12:18:44.990000,S,0.584,1.7805161860451335e-06,-1,-1.0
AV.DEER..BH,2021-07-29T15:11:25.050000,S,0.758,1.385482505611435e-06,63,3.481932855959463e-05
AV.DOL..BH,2021-07-29T08:00:00.010000,P,0.647,5.839277946506627e-05,1,0.0014696730047907053
AV.DOL..BH,2021-07-29T08:02:19.580000,P,0.671,1.5071582311065868e-05,-1,-1.0
AV.DOL..BH,2021-07-29T08:03:33.710000,P,0.898,2.561299152148422e-05,2,3.481932855959463e-05
AV.DOL..BH,2021-07-29T08:07:21.780000,P,0.641,1.071593851520447e-05,-1,-1.0
AV.DOL..BH,2021-07-29T08:13:35.980000,P,0.812,9.269354450225364e-06,3,0.0014696730047907053
AV.DOL..BH,2021-07-29T08:40:57.860000,P,0.851,1.7218178982147947e-05,6,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:08:30.760000,P,0.936,6.262966508074896e-06,8,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:17:49.030000,P,0.862,5.457341558212647e-06,9,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:23:34.710000,P,0.913,4.144122613070067e-06,10,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:26:59.780000,P,0.729,4.1630855776020326e-06,11,0.0014696730047907053
AV.DOL..BH,2021-07-29T09:29:01.710000,P,0.878,3.620882489485666e-05,12,0.0014696730047907053
AV.DOL..BH,2021-07-29T09:36:04.700000,P,0.605,4.659916157834232e-06,13,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:53:02.300000,P,0.845,9.666481673775706e-06,17,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:54:24.640000,P,0.565,2.448816849209834e-05,18,3.481932855959463e-05
AV.DOL..BH,2021-07-29T09:59:19.500000,P,0.65,6.898656465637032e-06,19,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:02:18.750000,P,0.627,9.421355571248569e-06,20,0.0014696730047907053
AV.DOL..BH,2021-07-29T10:05:50.760000,P,0.52,2.7144751584273763e-06,21,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:14:36.000000,P,0.532,3.1146846595220268e-06,-1,-1.0
AV.DOL..BH,2021-07-29T10:16:34.380000,P,0.84,4.5882093218097e-06,23,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:18:00.050000,P,0.854,4.620641902874922e-06,24,0.0014696730047907053
AV.DOL..BH,2021-07-29T10:24:53.880000,P,0.597,5.167388280824525e-06,27,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:27:38.180000,P,0.784,6.611031494685449e-06,28,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:38:41.030000,P,0.73,2.951225496872212e-06,29,3.481932855959463e-05
AV.DOL..BH,2021-07-29T10:50:56.340000,P,0.708,8.394048563786782e-06,31,3.481932855959463e-05
AV.DOL..BH,2021-07-29T11:05:36.740000,P,0.869,6.452268280554563e-06,35,3.481932855959463e-05
AV.DOL..BH,2021-07-29T11:09:26.550000,P,0.697,1.3764051800535526e-05,36,3.481932855959463e-05
AV.DOL..BH,2021-07-29T11:24:13.190000,P,0.91,4.357192210591165e-06,38,0.0014696730047907053
AV.DOL..BH,2021-07-29T11:30:00.420000,P,0.868,7.832838491594885e-06,39,3.481932855959463e-05
AV.DOL..BH,2021-07-29T11:42:11.500000,P,0.747,2.512445234970073e-06,40,3.481932855959463e-05
AV.DOL..BH,2021-07-29T11:48:33.900000,P,0.716,5.163655714568449e-06,41,3.481932855959463e-05
AV.DOL..BH,2021-07-29T12:18:36.820000,P,0.833,5.016760496800998e-06,43,3.481932855959463e-05
AV.DOL..BH,2021-07-29T12:29:01.190000,P,0.886,8.367950613319408e-06,45,3.481932855959463e-05
AV.DOL..BH,2021-07-29T12:37:15.360000,P,0.539,1.7994348127103876e-06,-1,-1.0
AV.DOL..BH,2021-07-29T12:43:24.990000,P,0.91,2.0119465261814184e-05,47,3.481932855959463e-05
AV.DOL..BH,2021-07-29T13:15:27.920000,P,0.576,8.519200491718948e-06,49,3.481932855959463e-05
AV.DOL..BH,2021-07-29T13:18:39.880000,P,0.789,9.748810953169595e-06,50,3.481932855959463e-05
AV.DOL..BH,2021-07-29T13:31:06.400000,P,0.608,2.239872401332832e-06,51,3.481932855959463e-05
AV.DOL..BH,2021-07-29T13:34:30.320000,P,0.507,2.328525397388148e-06,-1,-1.0
AV.DOL..BH,2021-07-29T13:41:28.380000,P,0.55,1.138603693107143e-06,-1,-1.0
AV.DOL..BH,2021-07-29T13:48:53.220000,P,0.825,3.2680961794540053e-06,52,3.481932855959463e-05
AV.DOL..BH,2021-07-29T14:02:50.800000,P,0.831,1.7113612784669383e-06,53,3.481932855959463e-05
AV.DOL..BH,2021-07-29T14:08:27.840000,P,0.604,1.2929411923323642e-06,54,0.0014696730047907053
AV.DOL..BH,2021-07-29T14:16:29.720000,P,0.545,1.8184372265750424e-06,-1,-1.0
AV.DOL..BH,2021-07-29T14:17:21.620000,P,0.533,1.986414645216428e-06,-1,-1.0
AV.DOL..BH,2021-07-29T14:33:34.960000,P,0.629,1.954026174644241e-06,-1,-1.0
AV.DOL..BH,2021-07-29T14:43:43.660000,P,0.754,1.4530613725582953e-06,57,0.0014696730047907053
AV.DOL..BH,2021-07-29T14:53:13.460000,P,0.675,2.6057296054204926e-06,60,3.481932855959463e-05
AV.DOL..BH,2021-07-29T14:58:43.140000,P,0.579,1.825071990424476e-06,62,3.481932855959463e-05
AV.DOL..BH,2021-07-29T15:11:14.200000,P,0.967,3.299471927675768e-06,63,6.567722427672446e-05
AV.DOL..BH,2021-07-29T15:13:59.430000,P,0.728,4.248870027367957e-06,64,3.481932855959463e-05
AV.DOL..BH,2021-07-29T15:30:28.510000,P,0.789,5.1472807172103785e-06,66,3.481932855959463e-05
AV.DOL..BH,2021-07-29T15:38:15.260000,P,0.85,1.3755737882092944e-06,-1,-1.0
AV.DOL..BH,2021-07-29T08:06:32.590000,S,0.55,8.102891115413513e-06,-1,-1.0
AV.DOL..BH,2021-07-29T08:41:05.840000,S,0.593,1.838173011492472e-05,6,6.567722427672446e-05
AV.DOL..BH,2021-07-29T10:17:00.390000,S,0.516,1.811624133551959e-05,-1,-1.0
AV.DOL..BH,2021-07-29T10:27:46.770000,S,0.502,6.611031494685449e-06,28,6.567722427672446e-05
AV.DOL..BH,2021-07-29T10:51:07.930000,S,0.684,2.056933044514153e-05,31,6.567722427672446e-05
AV.DOL..BH,2021-07-29T11:24:23.940000,S,0.504,4.565782546706032e-06,38,3.481932855959463e-05
AV.DOL..BH,2021-07-29T15:11:23.210000,S,0.803,3.299471927675768e-06,63,0.0017774473873098044
AV.DT1..BH,2021-07-29T08:00:00.880000,P,0.559,3.455884143477306e-05,1,3.481932855959463e-05
AV.DT1..BH,2021-07-29T08:03:37.060000,P,0.73,1.058040106727276e-05,2,6.567722427672446e-05
AV.DT1..BH,2021-07-29T08:16:34.700000,P,0.829,1.3744686839345375e-05,4,3.481932855959463e-05
AV.DT1..BH,2021-07-29T08:26:14.720000,P,0.606,7.959730282891542e-06,5,3.481932855959463e-05
AV.DT1..BH,2021-07-29T08:35:09.440000,P,0.638,7.908659426902886e-06,-1,-1.0
AV.DT1..BH,2021-07-29T08:41:01.300000,P,0.731,1.1591574548219796e-05,6,0.0017774473873098044
AV.DT1..BH,2021-07-29T09:08:34.190000,P,0.856,4.216547949909e-06,8,6.567722427672446e-05
AV.DT1..BH,2021-07-29T09:17:52.700000,P,0.649,4.497861937124981e-06,9,6.567722427672446e-05
