station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DEER..BH,2021-07-29T08:00:00.000,21755,2021-07-29T08:03:37.550,0.692,P,2021-07-29T08-00-00.mseed,1.609853825357277e-05,1.609853825357277e-05
AV.DEER..BH,2021-07-29T08:00:00.000,61783,2021-07-29T08:10:17.830,0.666,P,2021-07-29T08-00-00.mseed,1.6105177564895712e-05,1.6105177564895712e-05
AV.DEER..BH,2021-07-29T08:00:00.000,63084,2021-07-29T08:10:30.840,0.383,P,2021-07-29T08-00-00.mseed,2.0390771169331856e-05,2.0390771169331856e-05
AV.DEER..BH,2021-07-29T08:00:00.000,85069,2021-07-29T08:14:10.690,0.311,P,2021-07-29T08-00-00.mseed,1.4387804185389541e-05,1.4387804185389541e-05
AV.DEER..BH,2021-07-29T08:00:00.000,89900,2021-07-29T08:14:59.000,0.559,P,2021-07-29T08-00-00.mseed,1.8922766685136594e-05,1.8922766685136594e-05
AV.DEER..BH,2021-07-29T08:00:00.000,99530,2021-07-29T08:16:35.300,0.898,P,2021-07-29T08-00-00.mseed,1.8066264601657167e-05,1.8066264601657167e-05
AV.DEER..BH,2021-07-29T08:00:00.000,157504,2021-07-29T08:26:15.040,0.572,P,2021-07-29T08-00-00.mseed,1.3446079719869886e-05,1.3446079719869886e-05
AV.DEER..BH,2021-07-29T08:00:00.000,246179,2021-07-29T08:41:01.790,0.91,P,2021-07-29T08-00-00.mseed,1.1133718544442672e-05,1.1133718544442672e-05
AV.DEER..BH,2021-07-29T08:00:00.000,249600,2021-07-29T08:41:36.000,0.512,P,2021-07-29T08-00-00.mseed,1.8796152289723977e-05,1.8796152289723977e-05
AV.DEER..BH,2021-07-29T08:00:00.000,274650,2021-07-29T08:45:46.500,0.328,P,2021-07-29T08-00-00.mseed,4.8246201913570985e-06,4.8246201913570985e-06
AV.DEER..BH,2021-07-29T08:00:00.000,313090,2021-07-29T08:52:10.900,0.428,P,2021-07-29T08-00-00.mseed,6.149191904114559e-06,6.149191904114559e-06
AV.DEER..BH,2021-07-29T08:00:00.000,313112,2021-07-29T08:52:11.120,0.303,P,2021-07-29T08-00-00.mseed,1.062219962477684e-05,1.062219962477684e-05
AV.DEER..BH,2021-07-29T08:00:00.000,411422,2021-07-29T09:08:34.220,0.77,P,2021-07-29T08-00-00.mseed,4.143421847402351e-06,4.143421847402351e-06
AV.DEER..BH,2021-07-29T08:00:00.000,448942,2021-07-29T09:14:49.420,0.698,P,2021-07-29T08-00-00.mseed,3.529390141920885e-06,3.529390141920885e-06
AV.DEER..BH,2021-07-29T08:00:00.000,467250,2021-07-29T09:17:52.500,0.583,P,2021-07-29T08-00-00.mseed,5.420014531409834e-06,5.420014531409834e-06
AV.DEER..BH,2021-07-29T08:00:00.000,501858,2021-07-29T09:23:38.580,0.686,P,2021-07-29T08-00-00.mseed,3.6596702557289973e-06,3.6596702557289973e-06
AV.DEER..BH,2021-07-29T08:00:00.000,534542,2021-07-29T09:29:05.420,0.453,P,2021-07-29T08-00-00.mseed,7.861037829570705e-07,7.861037829570705e-07
AV.DEER..BH,2021-07-29T08:00:00.000,534563,2021-07-29T09:29:05.630,0.37,P,2021-07-29T08-00-00.mseed,1.3683794350072276e-05,1.3683794350072276e-05
AV.DEER..BH,2021-07-29T08:00:00.000,576870,2021-07-29T09:36:08.700,0.758,P,2021-07-29T08-00-00.mseed,2.8354747882985976e-06,2.8354747882985976e-06
AV.DEER..BH,2021-07-29T08:00:00.000,589684,2021-07-29T09:38:16.840,0.484,P,2021-07-29T08-00-00.mseed,3.5055302305408986e-06,3.5055302305408986e-06
AV.DEER..BH,2021-07-29T08:00:00.000,592736,2021-07-29T09:38:47.360,0.408,P,2021-07-29T08-00-00.mseed,5.430615601653699e-06,5.430615601653699e-06
AV.DEER..BH,2021-07-29T08:00:00.000,624154,2021-07-29T09:44:01.540,0.577,P,2021-07-29T08-00-00.mseed,2.324962679267628e-06,2.324962679267628e-06
AV.DEER..BH,2021-07-29T08:00:00.000,632994,2021-07-29T09:45:29.940,0.896,P,2021-07-29T08-00-00.mseed,1.949630814124248e-06,1.949630814124248e-06
AV.DEER..BH,2021-07-29T08:00:00.000,678626,2021-07-29T09:53:06.260,0.697,P,2021-07-29T08-00-00.mseed,5.891109594813315e-06,5.891109594813315e-06
AV.DEER..BH,2021-07-29T08:00:00.000,686875,2021-07-29T09:54:28.750,0.636,P,2021-07-29T08-00-00.mseed,7.507409918616759e-06,7.507409918616759e-06
AV.DEER..BH,2021-07-29T08:00:00.000,716335,2021-07-29T09:59:23.350,0.571,P,2021-07-29T08-00-00.mseed,3.6149833704257617e-06,3.6149833704257617e-06
AV.DEER..BH,2021-07-29T08:00:00.000,716386,2021-07-29T09:59:23.860,0.303,P,2021-07-29T08-00-00.mseed,6.2390663515543565e-06,6.2390663515543565e-06
AV.DEER..BH,2021-07-29T08:00:00.000,755263,2021-07-29T10:05:52.630,0.824,P,2021-07-29T08-00-00.mseed,2.0809782199648907e-06,2.0809782199648907e-06
AV.DEER..BH,2021-07-29T08:00:00.000,772090,2021-07-29T10:08:40.900,0.387,P,2021-07-29T08-00-00.mseed,2.005657961490215e-06,2.005657961490215e-06
AV.DEER..BH,2021-07-29T08:00:00.000,804698,2021-07-29T10:14:06.980,0.835,P,2021-07-29T08-00-00.mseed,2.3580703327752417e-06,2.3580703327752417e-06
AV.DEER..BH,2021-07-29T08:00:00.000,819808,2021-07-29T10:16:38.080,0.557,P,2021-07-29T08-00-00.mseed,1.8070496707878192e-06,1.8070496707878192e-06
AV.DEER..BH,2021-07-29T08:00:00.000,831083,2021-07-29T10:18:30.830,0.34,P,2021-07-29T08-00-00.mseed,4.327406713855453e-06,4.327406713855453e-06
AV.DEER..BH,2021-07-29T08:00:00.000,844955,2021-07-29T10:20:49.550,0.537,P,2021-07-29T08-00-00.mseed,1.8176359617427806e-06,1.8176359617427806e-06
AV.DEER..BH,2021-07-29T08:00:00.000,858408,2021-07-29T10:23:04.080,0.621,P,2021-07-29T08-00-00.mseed,1.4859791690469137e-06,1.4859791690469137e-06
AV.DEER..BH,2021-07-29T08:00:00.000,862039,2021-07-29T10:23:40.390,0.336,P,2021-07-29T08-00-00.mseed,2.5386782454006607e-06,2.5386782454006607e-06
AV.DEER..BH,2021-07-29T08:00:00.000,869778,2021-07-29T10:24:57.780,0.701,P,2021-07-29T08-00-00.mseed,1.639011429688253e-06,1.639011429688253e-06
AV.DEER..BH,2021-07-29T08:00:00.000,886104,2021-07-29T10:27:41.040,0.718,P,2021-07-29T08-00-00.mseed,3.3558690120116808e-06,3.3558690120116808e-06
AV.DEER..BH,2021-07-29T08:00:00.000,926224,2021-07-29T10:34:22.240,0.612,P,2021-07-29T08-00-00.mseed,2.0287875486246776e-06,2.0287875486246776e-06
AV.DEER..BH,2021-07-29T08:00:00.000,930752,2021-07-29T10:35:07.520,0.381,P,2021-07-29T08-00-00.mseed,2.2669109966955148e-06,2.2669109966955148e-06
AV.DEER..BH,2021-07-29T08:00:00.000,952499,2021-07-29T10:38:44.990,0.851,P,2021-07-29T08-00-00.mseed,1.394405671817367e-06,1.394405671817367e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1025630,2021-07-29T10:50:56.300,0.98,P,2021-07-29T08-00-00.mseed,4.935289780405583e-06,4.935289780405583e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1048675,2021-07-29T10:54:46.750,0.769,P,2021-07-29T08-00-00.mseed,1.6419056692029699e-06,1.6419056692029699e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1094728,2021-07-29T11:02:27.280,0.432,P,2021-07-29T08-00-00.mseed,1.5837143791941344e-06,1.5837143791941344e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1114059,2021-07-29T11:05:40.590,0.746,P,2021-07-29T08-00-00.mseed,1.8284886209585238e-06,1.8284886209585238e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1137059,2021-07-29T11:09:30.590,0.572,P,2021-07-29T08-00-00.mseed,4.4485932448878884e-06,4.4485932448878884e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1188128,2021-07-29T11:18:01.280,0.369,P,2021-07-29T08-00-00.mseed,1.4772084568903665e-06,1.4772084568903665e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1207704,2021-07-29T11:21:17.040,0.545,P,2021-07-29T08-00-00.mseed,9.411723453922605e-07,9.411723453922605e-07
AV.DEER..BH,2021-07-29T08:00:00.000,1225237,2021-07-29T11:24:12.370,0.953,P,2021-07-29T08-00-00.mseed,6.3115985540207475e-06,6.3115985540207475e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1260439,2021-07-29T11:30:04.390,0.824,P,2021-07-29T08-00-00.mseed,2.1429914340842515e-06,2.1429914340842515e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1302911,2021-07-29T11:37:09.110,0.643,P,2021-07-29T08-00-00.mseed,8.801741273600783e-07,8.801741273600783e-07
AV.DEER..BH,2021-07-29T08:00:00.000,1333534,2021-07-29T11:42:15.340,0.86,P,2021-07-29T08-00-00.mseed,1.1727669289030018e-06,1.1727669289030018e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1336940,2021-07-29T11:42:49.400,0.342,P,2021-07-29T08-00-00.mseed,3.1150989343586843e-06,3.1150989343586843e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1371790,2021-07-29T11:48:37.900,0.511,P,2021-07-29T08-00-00.mseed,2.9341887852751825e-07,2.9341887852751825e-07
AV.DEER..BH,2021-07-29T08:00:00.000,1371816,2021-07-29T11:48:38.160,0.314,P,2021-07-29T08-00-00.mseed,1.630332917557098e-06,1.630332917557098e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1416484,2021-07-29T11:56:04.840,0.612,P,2021-07-29T08-00-00.mseed,8.821344295029121e-07,8.821344295029121e-07
AV.DEER..BH,2021-07-29T08:00:00.000,1424812,2021-07-29T11:57:28.120,0.499,P,2021-07-29T08-00-00.mseed,1.707574597276107e-06,1.707574597276107e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1545371,2021-07-29T12:17:33.710,0.905,P,2021-07-29T08-00-00.mseed,9.41834116474638e-07,9.41834116474638e-07
AV.DEER..BH,2021-07-29T08:00:00.000,1552067,2021-07-29T12:18:40.670,0.852,P,2021-07-29T08-00-00.mseed,1.7068530269170878e-06,1.7068530269170878e-06
AV.DEER..BH,2021-07-29T08:00:00.000,1585848,2021-07-29T12:24:18.480,0.556,P,2021-07-29T08-00-00.mseed,1.3915225736127468e-06,1.3915225736127468e-06
