id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.PS4A..BH,2021-09-25T01:58:04.540000,S,0.505,1.5431403426191537e-06,3,0.000634893728474223
AV.PS4A..BH,2021-09-25T02:02:50.400000,S,0.53,1.7222247379322653e-06,4,0.0011687756901954218
AV.PS4A..BH,2021-09-25T02:07:15.580000,S,0.576,1.554443770146463e-06,5,0.000634893728474223
AV.PS4A..BH,2021-09-25T02:09:06.480000,S,0.342,1.8742904330792955e-06,6,0.0008589208021075928
AV.PS4A..BH,2021-09-25T02:13:59.200000,S,0.405,1.1072578445237014e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T02:16:19.680000,S,0.503,1.267809466298786e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T02:17:02.640000,S,0.464,1.780244019755628e-06,-1,-1.0
AV.PV6A..SH,2021-09-25T00:00:00.020000,P,0.313,1.494142765068318e-07,-1,-1.0
AV.PV6A..SH,2021-09-25T01:39:45.440000,P,0.456,2.7003511604561936e-07,-1,-1.0
AV.PV6A..SH,2021-09-25T02:02:51.500000,P,0.497,2.3470512644507838e-07,-1,-1.0
AV.PV6A..SH,2021-09-25T02:16:25.600000,S,0.405,3.293182828656427e-07,-1,-1.0
AV.PVV..SH,2021-09-25T01:44:11.440000,P,0.478,3.955643990138924e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:03:01.400000,P,0.399,5.562361025113205e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:21:06.880000,P,0.43,5.691255182682653e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:21:47.320000,P,0.317,8.72741679813771e-07,-1,-1.0
AV.PVV..SH,2021-09-25T01:33:29.800000,S,0.328,2.610670435387874e-07,-1,-1.0
AV.PVV..SH,2021-09-25T01:39:43.240000,S,0.328,4.555723762678099e-07,-1,-1.0
AV.PVV..SH,2021-09-25T01:39:44.760000,S,0.353,5.667081381943717e-07,2,0.00022338897815729993
AV.PVV..SH,2021-09-25T01:48:19.400000,S,0.472,2.134779748530491e-07,-1,-1.0
AV.PVV..SH,2021-09-25T01:58:04.560000,S,0.384,3.77940239104646e-07,3,0.0008589208021075928
AV.PVV..SH,2021-09-25T02:02:49.120000,S,0.473,4.211127588860109e-07,4,0.0005482887694906511
AV.PVV..SH,2021-09-25T02:07:14.460000,S,0.318,4.530550086201402e-07,5,0.0008589208021075928
AV.PVV..SH,2021-09-25T02:08:22.400000,S,0.538,2.6095361249645066e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:09:05.600000,S,0.392,3.738072678061144e-07,6,0.0011687756901954218
AV.PVV..SH,2021-09-25T02:13:16.620000,S,0.426,3.2242098768620053e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:14:00.160000,S,0.712,3.622931501467974e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:16:20.400000,S,0.357,4.79053426261089e-07,-1,-1.0
AV.PVV..SH,2021-09-25T02:17:01.500000,S,0.455,4.1083572455136164e-07,-1,-1.0
AV.S12K..BH,2021-09-25T01:12:11.800000,P,0.386,7.677725193389051e-07,-1,-1.0
AV.S12K..BH,2021-09-25T00:00:40.680000,S,0.532,1.2196525176477737e-06,1,0.0005482887694906511
