id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DTN..BH,2021-01-01T12:44:16.680000,P,0.626,5.524544121726649e-06,6,0.0127293388592828,20210101T080000_6,9
AV.DTN..BH,2021-01-01T12:48:07.760000,P,0.43,4.844527211389504e-06,8,0.0127293388592828,20210101T080000_8,11
AV.DTN..BH,2021-01-01T12:44:36.960000,S,0.64,6.993720944592496e-06,7,0.0127293388592828,20210101T080000_7,10
AV.HAG..SH,2021-01-01T08:32:03.960000,P,0.96,1.5689557812947896e-06,1,0.0127293388592828,20210101T080000_1,4
AV.HAG..SH,2021-01-01T11:56:59.260000,P,0.924,8.692163646628615e-07,3,0.0139235137617281,20210101T080000_3,6
AV.HAG..SH,2021-01-01T12:15:54.780000,P,0.814,4.783009330822097e-07,4,0.0108677953959449,20210101T080000_4,7
AV.HAG..SH,2021-01-01T12:35:24.220000,P,0.82,6.068627840249974e-07,5,0.0022557065259423,20210101T080000_5,8
AV.HAG..SH,2021-01-01T12:44:15.220000,P,0.914,2.171935193473473e-06,6,0.0110462539851829,20210101T080000_6,9
AV.HAG..SH,2021-01-01T12:48:06.380000,P,0.899,1.420948024133395e-06,8,0.0110462539851829,20210101T080000_8,11
AV.HAG..SH,2021-01-01T14:58:18.080000,P,0.53,1.0865948070204468e-06,10,0.0092775316007363,20210101T080000_10,13
AV.HAG..SH,2021-01-01T08:32:24.480000,S,0.47,1.3700636145586031e-06,2,0.0127293388592828,20210101T080000_2,5
AV.HAG..SH,2021-01-01T11:57:09.920000,S,0.708,1.6268554645648692e-06,3,0.0022557065259423,20210101T080000_3,6
AV.HAG..SH,2021-01-01T12:44:34.820000,S,0.755,3.5655771171150263e-06,7,0.0110462539851829,20210101T080000_7,10
AV.HAG..SH,2021-01-01T12:48:26.160000,S,0.694,1.5666132640035355e-06,9,0.0108677953959449,20210101T080000_9,12
AV.PS1A..BH,2021-01-01T12:44:34.240000,S,0.661,9.424378731637262e-06,7,0.0044279419124002,20210101T080000_7,10
AV.PS4A..BH,2021-01-01T08:32:03.820000,P,0.752,5.870934728591237e-06,1,0.0110462539851829,20210101T080000_1,4
AV.PS4A..BH,2021-01-01T11:56:59.020000,P,0.614,4.237561824993463e-06,3,3.3152358494317006e-05,20210101T080000_3,6
AV.PS4A..BH,2021-01-01T12:15:54.860000,P,0.56,4.6190275497792754e-06,4,0.0127293388592828,20210101T080000_4,7
AV.PS4A..BH,2021-01-01T12:44:14.860000,P,0.836,5.176258127903566e-06,6,0.0044279419124002,20210101T080000_6,9
AV.PS4A..BH,2021-01-01T12:48:06.040000,P,0.741,6.149375622044317e-06,8,0.0044279419124002,20210101T080000_8,11
AV.PS4A..BH,2021-01-01T14:58:17.180000,P,0.716,5.568427241087193e-06,10,0.0108677953959449,20210101T080000_10,13
AV.PS4A..BH,2021-01-01T08:32:23.000000,S,0.695,4.656803866964765e-06,2,0.0110462539851829,20210101T080000_2,5
AV.PS4A..BH,2021-01-01T11:57:10.680000,S,0.475,5.076101388112875e-06,3,0.0103270855451346,20210101T080000_3,6
AV.PS4A..BH,2021-01-01T12:44:34.120000,S,0.407,6.95420703777927e-06,7,0.0139235137617281,20210101T080000_7,10
AV.PS4A..BH,2021-01-01T12:48:25.340000,S,0.641,7.411497790599242e-06,9,0.0127293388592828,20210101T080000_9,12
AV.PV6A..SH,2021-01-01T08:32:06.440000,P,0.838,8.817614229883475e-07,1,0.0044279419124002,20210101T080000_1,4
AV.PV6A..SH,2021-01-01T12:15:57.260000,P,0.454,5.350995593289554e-07,4,0.0110462539851829,20210101T080000_4,7
AV.PV6A..SH,2021-01-01T12:35:27.340000,P,0.45,4.460743241452292e-07,5,3.3152358494317006e-05,20210101T080000_5,8
AV.PV6A..SH,2021-01-01T12:44:17.620000,P,0.965,1.2632824564207112e-06,6,0.0139235137617281,20210101T080000_6,9
