id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id
AV.DEER..BH,2021-07-29T11:21:17.040000,P,0.545,9.411723453922604e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T11:24:12.370000,P,0.953,6.311598554020748e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T11:30:04.390000,P,0.824,2.1429914340842515e-06,48,0.0005979079998146,20210729T080000_48
AV.DEER..BH,2021-07-29T11:37:09.110000,P,0.643,8.801741273600783e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T11:42:15.340000,P,0.86,1.1727669289030018e-06,49,0.0005979079998146,20210729T080000_49
AV.DEER..BH,2021-07-29T11:42:49.400000,P,0.342,3.1150989343586843e-06,50,0.0005979079998146,20210729T080000_50
AV.DEER..BH,2021-07-29T11:48:37.900000,P,0.511,1.630332917557098e-06,51,0.0005979079998146,20210729T080000_51
AV.DEER..BH,2021-07-29T11:56:04.840000,P,0.612,8.821344295029121e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T11:57:28.120000,P,0.499,1.707574597276107e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T12:17:33.710000,P,0.905,9.41834116474638e-07,52,0.0005979079998146,20210729T080000_52
AV.DEER..BH,2021-07-29T12:18:40.670000,P,0.852,1.7068530269170878e-06,53,0.0005979079998146,20210729T080000_53
AV.DEER..BH,2021-07-29T12:24:18.480000,P,0.556,1.3915225736127468e-06,54,0.0005979079998146,20210729T080000_54
AV.DEER..BH,2021-07-29T12:24:54.220000,P,0.571,1.979654598471825e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T12:29:04.860000,P,0.749,1.809817376852152e-06,55,0.0005979079998146,20210729T080000_55
AV.DEER..BH,2021-07-29T12:32:56.500000,P,0.426,1.377470084662491e-06,56,0.0005979079998146,20210729T080000_56
AV.DEER..BH,2021-07-29T12:33:34.540000,P,0.327,2.5822796487773303e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T12:37:21.470000,P,0.356,1.2528767001640515e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T12:43:28.970000,P,0.92,5.855180006619776e-06,57,0.0005979079998146,20210729T080000_57
AV.DEER..BH,2021-07-29T12:51:17.780000,P,0.361,9.753971426107455e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T12:52:30.080000,P,0.484,1.7529986280351295e-06,58,0.0005979079998146,20210729T080000_58
AV.DEER..BH,2021-07-29T13:13:12.230000,P,0.584,9.447949764762598e-07,61,0.0005979079998146,20210729T080000_61
AV.DEER..BH,2021-07-29T13:15:31.390000,P,0.802,2.798295781758497e-06,62,0.0005979079998146,20210729T080000_62
AV.DEER..BH,2021-07-29T13:18:44.310000,P,0.626,3.817504875769373e-06,63,0.0005979079998146,20210729T080000_63
AV.DEER..BH,2021-07-29T13:31:10.600000,P,0.652,1.3921242043579696e-06,64,0.0005979079998146,20210729T080000_64
AV.DEER..BH,2021-07-29T13:31:54.000000,P,0.41,2.49097229243489e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T13:48:57.190000,P,0.585,1.325223024650768e-06,65,0.0005979079998146,20210729T080000_65
AV.DEER..BH,2021-07-29T14:02:54.680000,P,0.691,8.15999953829305e-07,66,0.0005979079998146,20210729T080000_66
AV.DEER..BH,2021-07-29T14:03:33.280000,P,0.394,1.378347292302351e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T14:08:30.430000,P,0.613,8.80792129009933e-07,67,0.0005979079998146,20210729T080000_67
AV.DEER..BH,2021-07-29T14:09:33.440000,P,0.313,1.9744891233131057e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T14:16:46.870000,P,0.548,7.477012786694104e-07,69,0.0005979079998146,20210729T080000_69
AV.DEER..BH,2021-07-29T14:21:02.830000,P,0.827,7.767254714963201e-07,70,0.0005979079998146,20210729T080000_70
AV.DEER..BH,2021-07-29T14:50:08.660000,P,0.434,1.199586904476746e-06,72,0.0005979079998146,20210729T080000_72
AV.DEER..BH,2021-07-29T14:50:33.920000,P,0.424,2.285973323523649e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T14:53:17.270000,P,0.719,1.078911395779869e-06,74,0.0005979079998146,20210729T080000_74
AV.DEER..BH,2021-07-29T14:58:46.910000,P,0.763,1.0572289284027647e-06,76,0.0005979079998146,20210729T080000_76
AV.DEER..BH,2021-07-29T15:11:15.070000,P,0.946,1.385482505611435e-06,77,0.0005979079998146,20210729T080000_77
AV.DEER..BH,2021-07-29T15:14:03.470000,P,0.783,1.4832305623713182e-06,78,0.0005979079998146,20210729T080000_78
AV.DEER..BH,2021-07-29T15:21:36.360000,P,0.698,7.806874577909184e-07,79,0.0005979079998146,20210729T080000_79
AV.DEER..BH,2021-07-29T15:30:32.150000,P,0.599,1.2730713478958933e-06,80,0.0005979079998146,20210729T080000_80
AV.DEER..BH,2021-07-29T15:38:12.910000,P,0.609,9.22444996831473e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T15:54:33.580000,P,0.716,9.464734489483816e-07,82,0.0005979079998146,20210729T080000_82
AV.DEER..BH,2021-07-29T15:55:13.040000,P,0.685,9.110149221669416e-07,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:04:17.390000,S,0.413,2.011032665905077e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:10:35.420000,S,0.31,2.0390771169331856e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:10:47.740000,S,0.531,2.358663914492353e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:14:10.720000,S,0.289,1.438780418538954e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:16:44.240000,S,0.424,1.4491809452010784e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:17:11.600000,S,0.321,1.76999546965817e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:18:38.810000,S,0.343,9.606706043996384e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:34:32.340000,S,0.205,5.169337782717776e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:40:14.140000,S,0.293,1.2696551493718289e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:41:11.780000,S,0.303,1.1133718544442672e-05,9,1.620606399258123e-05,20210729T080000_9
AV.DEER..BH,2021-07-29T08:45:50.640000,S,0.203,4.8246201913570985e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:56:46.540000,S,0.405,2.0056644643773325e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:58:18.160000,S,0.216,8.190652806661092e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T08:59:10.750000,S,0.434,9.354317626275588e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T09:09:01.810000,S,0.221,1.0483289770490956e-05,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T09:17:58.240000,S,0.397,4.1217476791644e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T09:24:14.560000,S,0.456,5.461249202198815e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T09:27:44.570000,S,0.658,3.960636604460888e-06,-1,-1.0,20210729T080000_-1
AV.DEER..BH,2021-07-29T09:29:44.020000,S,0.333,7.122881652321666e-05,-1,-1.0,20210729T080000_-1
