time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-07-29T13:15:20.991,1.906,-161.73,55.336,41141.541,0.596,0.316,-0.039,16.0,53,20210729T080000_53
2021-07-29T13:18:28.910,2.319,-161.375,55.404,54517.104,0.564,0.235,-0.011,14.0,54,20210729T080000_54
2021-07-29T13:30:54.797,1.845,-161.375,55.403,61000.0,0.643,0.255,0.004,12.0,55,20210729T080000_55
2021-07-29T13:48:44.185,1.671,-161.428,55.291,45165.344,0.563,0.243,0.032,13.882,56,20210729T080000_56
2021-07-29T14:02:39.722,1.482,-161.376,55.296,61000.0,0.657,0.375,-0.012,11.991,57,20210729T080000_57
2021-07-29T14:08:16.353,1.547,-161.433,55.285,61000.0,0.438,0.188,0.009,9.214,58,20210729T080000_58
2021-07-29T14:16:31.487,1.718,-161.376,55.326,60462.916,0.418,0.277,0.067,7.0,59,20210729T080000_59
2021-07-29T14:20:47.836,1.511,-161.376,55.304,61000.0,0.738,0.321,-0.007,7.994,60,20210729T080000_60
2021-07-29T14:48:00.642,1.419,-161.676,55.398,61000.0,0.579,0.324,-0.069,6.0,61,20210729T080000_61
2021-07-29T14:49:57.390,1.422,-161.553,55.289,39528.858,0.596,0.303,0.02,14.0,62,20210729T080000_62
2021-07-29T14:53:03.864,1.731,-161.563,55.373,55306.411,0.683,0.239,0.011,14.0,63,20210729T080000_63
2021-07-29T14:57:04.551,0.759,-161.812,55.342,25895.168,0.564,0.409,-0.09,6.0,64,20210729T080000_64
2021-07-29T14:58:33.929,1.543,-161.485,55.343,48269.798,0.681,0.224,0.028,14.0,65,20210729T080000_65
2021-07-29T15:11:04.196,1.671,-161.7,54.904,61000.0,0.98,0.307,-0.024,15.0,66,20210729T080000_66
2021-07-29T15:13:48.186,1.955,-161.377,55.247,61000.0,0.784,0.185,0.04,14.0,67,20210729T080000_67
2021-07-29T15:30:22.335,1.686,-161.497,55.157,23651.439,0.625,0.287,0.112,12.843,68,20210729T080000_68
2021-07-29T15:30:45.222,1.976,-161.383,55.163,2705.973,1.017,0.243,-0.062,6.0,69,20210729T080000_69
2021-07-29T16:00:21.217,1.575,-161.378,55.124,48150.804,0.645,0.201,0.047,9.722,1,20210729T160000_1
2021-07-29T16:08:43.515,1.545,-161.375,55.37,53706.156,0.495,0.263,0.01,14.0,2,20210729T160000_2
2021-07-29T16:09:43.054,3.209,-161.445,55.285,58851.524,0.614,0.206,-0.007,16.0,3,20210729T160000_3
2021-07-29T16:38:31.145,1.536,-161.417,55.207,45569.956,0.727,0.305,0.004,15.0,4,20210729T160000_4
2021-07-29T17:00:21.729,1.961,-161.376,55.32,57261.254,0.443,0.213,0.018,11.0,5,20210729T160000_5
2021-07-29T17:03:59.454,1.535,-161.53,55.338,47121.315,0.347,0.279,-0.021,6.0,6,20210729T160000_6
2021-07-29T17:08:06.551,1.479,-161.374,55.43,53835.086,0.718,0.315,0.079,7.0,7,20210729T160000_7
