20210729   7594902   55.4427  -162.3373     72.580   2.96    0.00    0.00   0.00          1
20210729  22563304   55.2387  -160.5518     21.780   2.08    0.00    0.00   0.00        101
20210729  23384556   55.2755  -160.8012     38.860   2.26    0.00    0.00   0.00        102
20210729   9082118   55.1447  -160.9988     17.260   2.02    0.00    0.00   0.00         11
20210729   9173871   55.3068  -160.9890     42.340   2.17    0.00    0.00   0.00         12
20210729   9232408   55.2777  -160.9205     39.540   2.00    0.00    0.00   0.00         13
20210729   9360179   55.0883  -161.7798     13.650   1.94    0.00    0.00   0.00         16
20210729   9380658   54.9812  -161.4532      6.250   2.01    0.00    0.00   0.00         17
20210729   9435189   55.0928  -161.4750     19.710   1.37    0.00    0.00   0.00         18
20210729   9451673   55.2940  -161.1138     11.530   1.99    0.00    0.00   0.00         19
20210729   8032755   55.4110  -161.8465     50.960   2.55    0.00    0.00   0.00          2
20210729   9525466   55.2777  -161.2392     21.170   2.17    0.00    0.00   0.00         20
20210729   9541412   55.3213  -160.9888     44.360   2.82    0.00    0.00   0.00         21
20210729  10021282   55.0935  -161.4133     19.370   1.76    0.00    0.00   0.00         23
20210729  10162977   55.1897  -161.5337     15.000   1.67    0.00    0.00   0.00         27
20210729  10175418   55.2170  -161.3962     14.540   1.83    0.00    0.00   0.00         28
20210729   8093029   55.0722  -161.1437     16.340   2.36    0.00    0.00   0.00          3
20210729  10225443   55.3373  -161.4983     21.910   1.35    0.00    0.00   0.00         30
20210729  10272672   55.1892  -160.8267     39.110   2.09    0.00    0.00   0.00         32
20210729  10382872   55.2868  -160.7152     42.860   1.81    0.00    0.00   0.00         33
20210729  10425211   55.3033  -161.4882     14.210   1.23    0.00    0.00   0.00         34
20210729  10543642   55.2643  -161.3935     18.660   1.33    0.00    0.00   0.00         36
20210729  10590333   55.5737  -161.2522     12.070   1.65    0.00    0.00   0.00         37
20210729  11053286   55.2007  -161.6497     16.040   1.95    0.00    0.00   0.00         38
