time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id,event_id_mapped
2021-07-29T09:56:00.221,2.492,-162.776,55.077,61000.0,0.979,0.352,-0.178,4.0,51,20210729T080000_51,51
2021-07-29T09:59:09.333,2.094,-161.004,55.082,18998.69,0.493,0.31,0.047,12.469,52,20210729T080000_52,52
2021-07-29T09:59:56.547,1.665,-161.884,55.278,8017.912,0.849,0.451,-0.152,6.0,53,20210729T080000_53,53
2021-07-29T10:02:10.049,2.182,-161.746,55.427,61000.0,0.791,0.213,0.143,12.0,54,20210729T080000_54,54
2021-07-29T10:02:44.506,1.965,-162.333,54.944,61000.0,0.111,0.06,0.001,4.0,55,20210729T080000_55,55
2021-07-29T10:05:35.859,1.732,-161.046,54.916,61000.0,0.375,0.33,0.033,7.837,56,20210729T080000_56,56
2021-07-29T10:06:26.996,1.167,-161.965,55.223,27146.864,0.72,0.321,-0.115,9.0,57,20210729T080000_57,57
2021-07-29T10:08:23.923,2.205,-161.007,54.964,60058.872,0.277,0.204,-0.005,4.52,59,20210729T080000_59,58
2021-07-29T10:08:28.025,1.2,-162.171,55.589,0.0,0.115,0.413,0.022,4.48,58,20210729T080000_58,59
2021-07-29T10:13:56.807,1.34,-162.028,55.414,43235.374,0.613,0.387,0.072,8.0,60,20210729T080000_60,60
2021-07-29T10:16:20.751,2.247,-161.003,55.136,61000.0,0.783,0.188,0.013,11.0,61,20210729T080000_61,61
2021-07-29T10:16:38.044,2.607,-161.006,54.991,49466.612,0.405,0.289,0.019,6.919,62,20210729T080000_62,62
2021-07-29T10:17:55.226,1.564,-161.458,55.181,8896.944,0.527,0.212,0.037,10.86,63,20210729T080000_63,63
2021-07-29T10:18:03.877,2.435,-161.005,55.035,44175.297,0.486,0.264,0.043,9.843,64,20210729T080000_64,64
2021-07-29T10:20:35.109,1.622,-161.421,55.275,61000.0,0.461,0.376,-0.02,6.0,65,20210729T080000_65,65
2021-07-29T10:21:11.124,1.417,-161.345,55.455,0.0,0.916,0.35,-0.17,4.301,66,20210729T080000_66,66
2021-07-29T10:22:55.086,1.255,-161.84,55.365,30657.196,0.799,0.264,0.1,16.0,67,20210729T080000_67,67
2021-07-29T10:23:28.308,1.794,-161.204,55.085,0.0,0.257,0.162,0.019,5.882,68,20210729T080000_68,68
2021-07-29T10:24:43.675,2.052,-161.593,55.31,60928.958,0.601,0.256,-0.043,13.887,69,20210729T080000_69,69
2021-07-29T10:27:26.086,2.069,-161.278,55.247,61000.0,0.483,0.353,-0.013,12.506,70,20210729T080000_70,70
2021-07-29T10:28:05.144,1.863,-161.737,54.981,7230.187,0.289,0.189,0.025,4.512,71,20210729T080000_71,71
2021-07-29T10:38:29.218,1.863,-161.253,55.295,58907.535,0.556,0.252,0.052,15.947,72,20210729T080000_72,72
2021-07-29T10:42:47.215,1.171,-161.565,55.471,57581.965,0.55,0.487,0.07,7.0,73,20210729T080000_73,73
2021-07-29T10:50:41.800,2.124,-161.281,54.903,61000.0,0.494,0.317,0.05,9.072,75,20210729T080000_75,74
2021-07-29T10:50:43.489,1.908,-162.78,55.234,61000.0,0.656,0.411,-0.018,11.928,74,20210729T080000_74,75
2021-07-29T10:54:35.265,1.365,-161.235,55.329,13848.865,0.582,0.272,0.026,5.947,76,20210729T080000_76,76
2021-07-29T10:55:16.536,0.769,-161.771,55.272,0.0,0.098,0.559,-0.002,5.0,77,20210729T080000_77,77
2021-07-29T10:59:02.799,1.637,-161.658,55.322,47248.175,0.607,0.211,0.032,14.0,78,20210729T080000_78,78
2021-07-29T10:59:24.350,2.151,-161.003,55.152,31132.319,0.566,0.137,-0.043,4.803,79,20210729T080000_79,79
2021-07-29T11:05:25.318,2.123,-161.326,55.308,61000.0,0.83,0.208,0.006,13.0,80,20210729T080000_80,80
2021-07-29T11:09:12.842,2.694,-161.018,55.286,61000.0,0.354,0.23,-0.012,10.884,81,20210729T080000_81,81
2021-07-29T11:09:51.880,3.013,-161.28,55.254,158.803,0.362,0.19,0.025,4.888,82,20210729T080000_82,82
2021-07-29T11:17:04.913,1.431,-162.126,55.494,38296.034,0.845,0.451,0.005,8.0,83,20210729T080000_83,83
