id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DEER..BH,2021-07-29T14:50:08.660000,P,0.434,1.199586904476746e-06,72,0.0005979079998146,20210729T080000_72,72
AV.DEER..BH,2021-07-29T14:53:17.270000,P,0.719,1.078911395779869e-06,74,0.0005979079998146,20210729T080000_74,74
AV.DEER..BH,2021-07-29T14:58:46.910000,P,0.763,1.0572289284027647e-06,76,0.0005979079998146,20210729T080000_76,76
AV.DEER..BH,2021-07-29T15:11:15.070000,P,0.946,1.385482505611435e-06,77,0.0005979079998146,20210729T080000_77,77
AV.DEER..BH,2021-07-29T15:14:03.470000,P,0.783,1.4832305623713182e-06,78,0.0005979079998146,20210729T080000_78,78
AV.DEER..BH,2021-07-29T15:21:36.360000,P,0.698,7.806874577909184e-07,79,0.0005979079998146,20210729T080000_79,79
AV.DEER..BH,2021-07-29T15:30:32.150000,P,0.599,1.2730713478958933e-06,80,0.0005979079998146,20210729T080000_80,80
AV.DEER..BH,2021-07-29T15:54:33.580000,P,0.716,9.464734489483816e-07,82,0.0005979079998146,20210729T080000_82,82
AV.DEER..BH,2021-07-29T08:41:11.780000,S,0.303,1.1133718544442672e-05,9,1.620606399258123e-05,20210729T080000_9,9
AV.DEER..BH,2021-07-29T09:36:13.300000,S,0.205,3.876038590533426e-06,17,1.620606399258123e-05,20210729T080000_17,17
AV.DEER..BH,2021-07-29T09:44:08.220000,S,0.229,2.0016466351080453e-06,19,1.620606399258123e-05,20210729T080000_19,19
AV.DEER..BH,2021-07-29T10:08:53.680000,S,0.313,2.044024540737155e-06,27,1.620606399258123e-05,20210729T080000_27,27
AV.DEER..BH,2021-07-29T10:21:25.260000,S,0.284,2.1937353267276194e-06,33,0.0005979079998146,20210729T080000_33,33
AV.DEER..BH,2021-07-29T10:51:08.330000,S,0.853,7.102637482603313e-06,39,1.620606399258123e-05,20210729T080000_39,39
AV.DEER..BH,2021-07-29T11:24:22.170000,S,0.732,6.311598554020748e-06,47,0.0005979079998146,20210729T080000_47,47
AV.DEER..BH,2021-07-29T12:17:43.180000,S,0.329,8.99941937859694e-07,52,1.620606399258123e-05,20210729T080000_52,52
AV.DEER..BH,2021-07-29T14:16:35.840000,S,0.203,1.1347128747729585e-06,68,0.0005979079998146,20210729T080000_68,68
AV.DEER..BH,2021-07-29T15:11:25.050000,S,0.758,1.385482505611435e-06,77,1.620606399258123e-05,20210729T080000_77,77
AV.DEER..BH,2021-07-29T15:31:04.090000,S,0.41,4.743693352793343e-06,81,0.0005979079998146,20210729T080000_81,81
AV.DOL..BH,2021-07-29T08:00:00.010000,P,0.647,5.839277946506627e-05,1,0.0005979079998146,20210729T080000_1,1
AV.DOL..BH,2021-07-29T08:09:38.700000,P,0.328,2.07295215659542e-05,3,0.0005979079998146,20210729T080000_3,3
AV.DOL..BH,2021-07-29T08:13:35.980000,P,0.812,9.269354450225364e-06,5,0.0005979079998146,20210729T080000_5,5
AV.DOL..BH,2021-07-29T08:16:31.520000,P,0.499,3.1397030397783965e-05,6,1.620606399258123e-05,20210729T080000_6,6
AV.DOL..BH,2021-07-29T08:40:57.860000,P,0.851,1.7218178982147947e-05,9,0.0004050876116612,20210729T080000_9,9
AV.DOL..BH,2021-07-29T08:56:02.400000,P,0.463,1.1516407539602367e-05,10,0.0005979079998146,20210729T080000_10,10
AV.DOL..BH,2021-07-29T09:08:30.760000,P,0.936,6.262966508074896e-06,12,1.620606399258123e-05,20210729T080000_12,12
AV.DOL..BH,2021-07-29T09:17:49.030000,P,0.862,5.457341558212647e-06,13,1.620606399258123e-05,20210729T080000_13,13
AV.DOL..BH,2021-07-29T09:23:34.710000,P,0.913,4.144122613070067e-06,14,1.620606399258123e-05,20210729T080000_14,14
AV.DOL..BH,2021-07-29T09:26:59.780000,P,0.729,4.1630855776020326e-06,15,0.0005979079998146,20210729T080000_15,15
AV.DOL..BH,2021-07-29T09:29:01.710000,P,0.878,3.620882489485666e-05,16,1.620606399258123e-05,20210729T080000_16,16
AV.DOL..BH,2021-07-29T09:36:04.700000,P,0.605,4.659916157834232e-06,17,0.0004050876116612,20210729T080000_17,17
AV.DOL..BH,2021-07-29T09:43:57.360000,P,0.427,3.954230123781599e-06,19,0.0004050876116612,20210729T080000_19,19
AV.DOL..BH,2021-07-29T09:45:25.920000,P,0.441,2.9101572636136552e-06,20,1.620606399258123e-05,20210729T080000_20,20
AV.DOL..BH,2021-07-29T09:53:02.300000,P,0.845,9.666481673775706e-06,21,1.620606399258123e-05,20210729T080000_21,21
AV.DOL..BH,2021-07-29T09:54:24.640000,P,0.565,2.448816849209834e-05,22,1.620606399258123e-05,20210729T080000_22,22
AV.DOL..BH,2021-07-29T09:59:19.500000,P,0.65,6.898656465637032e-06,23,1.620606399258123e-05,20210729T080000_23,23
AV.DOL..BH,2021-07-29T10:02:18.750000,P,0.627,9.421355571248569e-06,24,0.0005979079998146,20210729T080000_24,24
AV.DOL..BH,2021-07-29T10:05:50.760000,P,0.52,2.7144751584273763e-06,25,0.0005979079998146,20210729T080000_25,25
AV.DOL..BH,2021-07-29T10:06:32.320000,P,0.408,5.8669124882726464e-06,26,0.0005979079998146,20210729T080000_26,26
AV.DOL..BH,2021-07-29T10:16:34.380000,P,0.84,4.5882093218097e-06,29,1.620606399258123e-05,20210729T080000_29,29
AV.DOL..BH,2021-07-29T10:18:00.050000,P,0.854,4.620641902874922e-06,31,0.0005979079998146,20210729T080000_31,31
AV.DOL..BH,2021-07-29T10:20:47.100000,P,0.486,2.2975455067353323e-06,32,1.620606399258123e-05,20210729T080000_32,32
AV.DOL..BH,2021-07-29T10:24:53.880000,P,0.597,5.167388280824525e-06,35,1.620606399258123e-05,20210729T080000_35,35
AV.DOL..BH,2021-07-29T10:27:38.180000,P,0.784,6.611031494685449e-06,36,1.620606399258123e-05,20210729T080000_36,36
AV.DOL..BH,2021-07-29T10:38:41.030000,P,0.73,2.951225496872212e-06,37,1.620606399258123e-05,20210729T080000_37,37
AV.DOL..BH,2021-07-29T10:50:56.340000,P,0.708,8.394048563786782e-06,39,0.0004050876116612,20210729T080000_39,39
AV.DOL..BH,2021-07-29T10:54:42.960000,P,0.45,1.851474280556431e-06,41,1.620606399258123e-05,20210729T080000_41,41
AV.DOL..BH,2021-07-29T10:59:11.360000,P,0.448,3.7677957607229473e-06,42,0.0005979079998146,20210729T080000_42,42
AV.DOL..BH,2021-07-29T11:05:36.740000,P,0.869,6.452268280554563e-06,44,1.620606399258123e-05,20210729T080000_44,43
AV.DOL..BH,2021-07-29T11:09:26.550000,P,0.697,1.3764051800535526e-05,45,1.620606399258123e-05,20210729T080000_45,45
AV.DOL..BH,2021-07-29T11:17:11.420000,P,0.338,2.427159415674396e-06,46,0.0005979079998146,20210729T080000_46,46
AV.DOL..BH,2021-07-29T11:30:00.420000,P,0.868,7.832838491594885e-06,48,1.620606399258123e-05,20210729T080000_48,48
AV.DOL..BH,2021-07-29T11:42:11.500000,P,0.747,2.512445234970073e-06,49,1.620606399258123e-05,20210729T080000_49,49
AV.DOL..BH,2021-07-29T11:42:43.600000,P,0.379,1.0271487553836778e-05,50,1.620606399258123e-05,20210729T080000_50,50
AV.DOL..BH,2021-07-29T11:48:33.900000,P,0.716,5.163655714568449e-06,51,1.620606399258123e-05,20210729T080000_51,51
AV.DOL..BH,2021-07-29T12:18:36.820000,P,0.833,5.016760496800998e-06,53,1.620606399258123e-05,20210729T080000_53,53
AV.DOL..BH,2021-07-29T12:29:01.190000,P,0.886,8.367950613319408e-06,55,1.620606399258123e-05,20210729T080000_55,55
AV.DOL..BH,2021-07-29T12:32:52.860000,P,0.344,3.0156531920511043e-06,56,1.620606399258123e-05,20210729T080000_56,56
AV.DOL..BH,2021-07-29T12:43:24.990000,P,0.91,2.0119465261814184e-05,57,1.620606399258123e-05,20210729T080000_57,57
AV.DOL..BH,2021-07-29T12:52:25.440000,P,0.349,6.331010354188038e-06,58,1.620606399258123e-05,20210729T080000_58,58
AV.DOL..BH,2021-07-29T13:03:49.920000,P,0.496,1.9343578969710502e-06,60,0.0005979079998146,20210729T080000_60,60
AV.DOL..BH,2021-07-29T13:15:27.920000,P,0.576,8.519200491718948e-06,62,1.620606399258123e-05,20210729T080000_62,62
AV.DOL..BH,2021-07-29T13:18:39.880000,P,0.789,9.748810953169595e-06,63,1.620606399258123e-05,20210729T080000_63,63
AV.DOL..BH,2021-07-29T13:31:06.400000,P,0.608,2.239872401332832e-06,64,1.620606399258123e-05,20210729T080000_64,64
AV.DOL..BH,2021-07-29T13:48:53.220000,P,0.825,3.2680961794540053e-06,65,1.620606399258123e-05,20210729T080000_65,65
AV.DOL..BH,2021-07-29T14:02:50.800000,P,0.831,1.7113612784669383e-06,66,1.620606399258123e-05,20210729T080000_66,66
AV.DOL..BH,2021-07-29T14:08:27.840000,P,0.604,1.2929411923323642e-06,67,1.620606399258123e-05,20210729T080000_67,67
AV.DOL..BH,2021-07-29T14:16:29.720000,P,0.545,1.8184372265750424e-06,68,1.620606399258123e-05,20210729T080000_68,68
AV.DOL..BH,2021-07-29T14:16:42.870000,P,0.462,1.8363160734224948e-06,69,1.620606399258123e-05,20210729T080000_69,69
AV.DOL..BH,2021-07-29T14:20:58.110000,P,0.411,1.2188389746370376e-06,70,1.620606399258123e-05,20210729T080000_70,70
AV.DOL..BH,2021-07-29T14:50:05.160000,P,0.414,2.4777220914984355e-06,72,1.620606399258123e-05,20210729T080000_72,72
AV.DOL..BH,2021-07-29T14:53:13.460000,P,0.675,2.6057296054204926e-06,74,1.620606399258123e-05,20210729T080000_74,74
AV.DOL..BH,2021-07-29T14:58:43.140000,P,0.579,1.825071990424476e-06,76,1.620606399258123e-05,20210729T080000_76,76
AV.DOL..BH,2021-07-29T15:11:14.200000,P,0.967,3.299471927675768e-06,77,0.0004050876116612,20210729T080000_77,77
AV.DOL..BH,2021-07-29T15:13:59.430000,P,0.728,4.248870027367957e-06,78,1.620606399258123e-05,20210729T080000_78,78
AV.DOL..BH,2021-07-29T15:21:32.660000,P,0.341,1.3573252317655715e-06,79,1.620606399258123e-05,20210729T080000_79,79
AV.DOL..BH,2021-07-29T15:30:28.510000,P,0.789,5.1472807172103785e-06,80,1.620606399258123e-05,20210729T080000_80,80
