AV.DEER   54.9713  -162.3244   0.392
AV.DOL    55.1496  -161.8647   0.453
AV.DT1    55.1063  -162.2831   0.198
AV.DTN    55.1448  -162.2590   0.396
AV.HAG    55.3169  -161.9044   0.515
AV.PN7A   55.4329  -161.9973   0.838
AV.PS1A   55.4201  -161.7437   0.282
AV.PS4A   55.3460  -161.8565   0.327
AV.PV6A   55.5070  -161.9714   0.352
AV.PVV    55.3731  -161.7919   0.164
AV.S12K   55.7030  -162.0670   0.399
