time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-02T16:24:55.578,2.647,-161.181,54.903,45468.494,0.567,0.265,-0.029,6.837,2,20210102T160000_2
2021-01-02T18:07:19.889,1.156,-162.044,55.043,0.0,0.408,0.362,-0.07,14.0,3,20210102T160000_3
2021-01-02T19:13:28.990,2.547,-162.111,54.905,61000.0,1.048,0.348,-0.121,16.33,4,20210102T160000_4
2021-01-02T20:27:01.367,1.72,-161.181,54.903,37305.702,0.182,0.335,0.031,5.0,5,20210102T160000_5
2021-01-02T20:27:18.338,1.707,-161.493,54.904,19754.054,0.562,0.27,0.005,5.0,6,20210102T160000_6
2021-01-02T20:32:40.137,2.288,-161.002,55.168,55352.389,0.566,0.272,0.035,10.0,7,20210102T160000_7
2021-01-02T20:33:06.803,2.047,-161.0,55.272,2579.915,0.262,0.382,0.038,4.615,8,20210102T160000_8
2021-01-02T21:15:27.076,1.249,-161.618,55.227,15230.421,0.651,0.393,0.077,10.0,9,20210102T160000_9
2021-01-02T21:19:53.839,1.527,-161.004,55.081,42537.778,0.169,0.441,0.007,5.0,10,20210102T160000_10
2021-01-02T21:34:01.060,1.621,-161.687,55.046,29607.538,0.798,0.357,0.047,11.0,11,20210102T160000_11
2021-01-02T21:34:11.651,1.872,-161.506,54.904,31622.555,0.715,0.299,0.014,7.0,12,20210102T160000_12
2021-01-02T23:32:25.917,2.173,-161.437,54.904,50642.131,0.324,0.342,-0.028,10.0,13,20210102T160000_13
2021-01-02T23:32:36.780,2.113,-161.569,54.904,61000.0,0.802,0.232,-0.098,8.0,14,20210102T160000_14
2021-01-03T00:11:45.126,1.561,-161.372,54.904,29296.336,0.171,0.411,0.019,6.0,1,20210103T000000_1
2021-01-03T00:11:59.896,1.349,-161.63,54.905,32494.845,0.628,0.275,-0.028,4.0,2,20210103T000000_2
2021-01-03T01:52:16.505,1.764,-162.778,55.17,61000.0,0.213,0.508,0.008,7.928,3,20210103T000000_3
2021-01-03T02:15:56.682,1.315,-161.352,54.904,29004.45,0.092,0.496,0.002,5.0,4,20210103T000000_4
2021-01-03T02:16:11.385,1.175,-161.813,54.905,34315.929,0.136,0.317,-0.008,4.0,5,20210103T000000_5
