station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DEER..BH,2021-09-19T15:00:00.000,56511,2021-09-19T15:18:50.220,0.966,P,2021-09-19T15-00-00.mseed,8.533340405847412e-06,8.533340405847412e-06
AV.DEER..BH,2021-09-19T15:00:00.000,56807,2021-09-19T15:18:56.140,0.929,S,2021-09-19T15-00-00.mseed,8.533340405847412e-06,8.533340405847412e-06
AV.DOL..BH,2021-09-19T15:00:00.000,56761,2021-09-19T15:18:55.220,0.97,P,2021-09-19T15-00-00.mseed,9.202962246490642e-06,9.202962246490642e-06
AV.DOL..BH,2021-09-19T15:00:00.000,72543,2021-09-19T15:24:10.860,0.649,P,2021-09-19T15-00-00.mseed,2.9636705676239217e-06,2.9636705676239217e-06
AV.DOL..BH,2021-09-19T15:00:00.000,57254,2021-09-19T15:19:05.080,0.776,S,2021-09-19T15-00-00.mseed,9.202962246490642e-06,9.202962246490642e-06
AV.DOL..BH,2021-09-19T15:00:00.000,73464,2021-09-19T15:24:29.280,0.518,S,2021-09-19T15-00-00.mseed,4.042274667881429e-06,4.042274667881429e-06
AV.DT1..BH,2021-09-19T15:00:00.000,56627,2021-09-19T15:18:52.540,0.906,P,2021-09-19T15-00-00.mseed,7.4096888056374155e-06,7.4096888056374155e-06
AV.DT1..BH,2021-09-19T15:00:00.000,72674,2021-09-19T15:24:13.480,0.361,P,2021-09-19T15-00-00.mseed,2.1215844299149467e-06,2.1215844299149467e-06
AV.DT1..BH,2021-09-19T15:00:00.000,56997,2021-09-19T15:18:59.940,0.804,S,2021-09-19T15-00-00.mseed,7.4096888056374155e-06,7.4096888056374155e-06
AV.DTN..BH,2021-09-19T15:00:00.000,1,2021-09-19T15:00:00.020,0.528,P,2021-09-19T15-00-00.mseed,2.4947323709056946e-06,2.4947323709056946e-06
AV.DTN..BH,2021-09-19T15:00:00.000,56677,2021-09-19T15:18:53.540,0.921,P,2021-09-19T15-00-00.mseed,3.6645428735937458e-06,3.6645428735937458e-06
AV.DTN..BH,2021-09-19T15:00:00.000,72690,2021-09-19T15:24:13.800,0.348,P,2021-09-19T15-00-00.mseed,2.5194929094141116e-06,2.5194929094141116e-06
AV.DTN..BH,2021-09-19T15:00:00.000,57081,2021-09-19T15:19:01.620,0.722,S,2021-09-19T15-00-00.mseed,3.648941856226884e-06,3.648941856226884e-06
AV.DTN..BH,2021-09-19T15:00:00.000,73763,2021-09-19T15:24:35.260,0.336,S,2021-09-19T15-00-00.mseed,4.01164425056777e-06,4.01164425056777e-06
AV.HAG..SH,2021-09-19T15:00:00.000,31508,2021-09-19T15:10:30.160,0.556,P,2021-09-19T15-00-00.mseed,8.279525900434237e-07,8.279525900434237e-07
AV.HAG..SH,2021-09-19T15:00:00.000,56899,2021-09-19T15:18:57.980,0.972,P,2021-09-19T15-00-00.mseed,2.293797933816677e-06,2.293797933816677e-06
AV.HAG..SH,2021-09-19T15:00:00.000,72644,2021-09-19T15:24:12.880,0.571,P,2021-09-19T15-00-00.mseed,1.3827054772264091e-06,1.3827054772264091e-06
AV.HAG..SH,2021-09-19T15:00:00.000,109211,2021-09-19T15:36:24.220,0.343,P,2021-09-19T15-00-00.mseed,5.963945568510098e-07,5.963945568510098e-07
AV.HAG..SH,2021-09-19T15:00:00.000,170876,2021-09-19T15:56:57.520,0.343,P,2021-09-19T15-00-00.mseed,5.991441867081448e-07,5.991441867081448e-07
AV.HAG..SH,2021-09-19T15:00:00.000,32572,2021-09-19T15:10:51.440,0.426,S,2021-09-19T15-00-00.mseed,9.346736646875797e-07,9.346736646875797e-07
AV.HAG..SH,2021-09-19T15:00:00.000,57524,2021-09-19T15:19:10.480,0.728,S,2021-09-19T15-00-00.mseed,2.8975503028050298e-06,2.8975503028050298e-06
AV.HAG..SH,2021-09-19T15:00:00.000,73712,2021-09-19T15:24:34.240,0.543,S,2021-09-19T15-00-00.mseed,1.7142763226729585e-06,1.7142763226729585e-06
AV.HAG..SH,2021-09-19T15:00:00.000,171138,2021-09-19T15:57:02.760,0.369,S,2021-09-19T15-00-00.mseed,5.991441867081448e-07,5.991441867081448e-07
AV.PN7A..BH,2021-09-19T15:00:00.000,36340,2021-09-19T15:12:06.800,0.739,P,2021-09-19T15-00-00.mseed,5.9617100305331405e-06,5.9617100305331405e-06
AV.PN7A..BH,2021-09-19T15:00:00.000,56126,2021-09-19T15:18:42.520,0.766,P,2021-09-19T15-00-00.mseed,5.059318482381059e-06,5.059318482381059e-06
AV.PN7A..BH,2021-09-19T15:00:00.000,72776,2021-09-19T15:24:15.520,0.409,P,2021-09-19T15-00-00.mseed,3.8614375625911634e-06,3.8614375625911634e-06
AV.PN7A..BH,2021-09-19T15:00:00.000,36437,2021-09-19T15:12:08.740,0.539,S,2021-09-19T15-00-00.mseed,5.9617100305331405e-06,5.9617100305331405e-06
AV.PN7A..BH,2021-09-19T15:00:00.000,56248,2021-09-19T15:18:44.960,0.449,S,2021-09-19T15-00-00.mseed,5.059318482381059e-06,5.059318482381059e-06
AV.PS1A..BH,2021-09-19T15:00:00.000,1,2021-09-19T15:00:00.020,0.389,P,2021-09-19T15-00-00.mseed,5.519421392818913e-06,5.519421392818913e-06
AV.PS1A..BH,2021-09-19T15:00:00.000,31486,2021-09-19T15:10:29.720,0.334,P,2021-09-19T15-00-00.mseed,3.607407279559993e-06,3.607407279559993e-06
AV.PS1A..BH,2021-09-19T15:00:00.000,57007,2021-09-19T15:19:00.140,0.877,P,2021-09-19T15-00-00.mseed,3.925048531527864e-06,3.925048531527864e-06
AV.PS1A..BH,2021-09-19T15:00:00.000,72646,2021-09-19T15:24:12.920,0.317,P,2021-09-19T15-00-00.mseed,4.676313437812496e-06,4.676313437812496e-06
AV.PS1A..BH,2021-09-19T15:00:00.000,57699,2021-09-19T15:19:13.980,0.825,S,2021-09-19T15-00-00.mseed,3.3668120522634126e-06,3.3668120522634126e-06
AV.PS4A..BH,2021-09-19T15:00:00.000,56930,2021-09-19T15:18:58.600,0.915,P,2021-09-19T15-00-00.mseed,6.5391809584980365e-06,6.5391809584980365e-06
AV.PS4A..BH,2021-09-19T15:00:00.000,72643,2021-09-19T15:24:12.860,0.345,P,2021-09-19T15-00-00.mseed,3.896142061421415e-06,3.896142061421415e-06
AV.PS4A..BH,2021-09-19T15:00:00.000,57556,2021-09-19T15:19:11.120,0.517,S,2021-09-19T15-00-00.mseed,5.2171976676618215e-06,5.2171976676618215e-06
AV.PV6A..SH,2021-09-19T15:00:00.000,1,2021-09-19T15:00:00.020,0.802,P,2021-09-19T15-00-00.mseed,7.094837997101422e-07,7.094837997101422e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,57043,2021-09-19T15:19:00.860,0.351,P,2021-09-19T15-00-00.mseed,2.622123531637044e-07,2.622123531637044e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,72777,2021-09-19T15:24:15.540,0.806,P,2021-09-19T15-00-00.mseed,5.694203082384774e-07,5.694203082384774e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,79912,2021-09-19T15:26:38.240,0.4,P,2021-09-19T15-00-00.mseed,8.619983304924972e-07,8.619983304924972e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,170878,2021-09-19T15:56:57.560,0.532,P,2021-09-19T15-00-00.mseed,6.269693244576047e-07,6.269693244576047e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,57802,2021-09-19T15:19:16.040,0.317,S,2021-09-19T15-00-00.mseed,2.9738012585767137e-07,2.9738012585767137e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,73920,2021-09-19T15:24:38.400,0.802,S,2021-09-19T15-00-00.mseed,7.663890642106708e-07,7.663890642106708e-07
AV.PV6A..SH,2021-09-19T15:00:00.000,171047,2021-09-19T15:57:00.940,0.507,S,2021-09-19T15-00-00.mseed,6.269693244576047e-07,6.269693244576047e-07
AV.PVV..SH,2021-09-19T15:00:00.000,1,2021-09-19T15:00:00.020,0.408,P,2021-09-19T15-00-00.mseed,4.305218794797838e-07,4.305218794797838e-07
AV.PVV..SH,2021-09-19T15:00:00.000,34566,2021-09-19T15:11:31.320,0.317,P,2021-09-19T15-00-00.mseed,2.1493049473519932e-07,2.1493049473519932e-07
AV.PVV..SH,2021-09-19T15:00:00.000,56947,2021-09-19T15:18:58.940,0.724,P,2021-09-19T15-00-00.mseed,5.994243110762909e-07,5.994243110762909e-07
AV.PVV..SH,2021-09-19T15:00:00.000,72619,2021-09-19T15:24:12.380,0.959,P,2021-09-19T15-00-00.mseed,4.3337530541975866e-07,4.3337530541975866e-07
AV.PVV..SH,2021-09-19T15:00:00.000,79752,2021-09-19T15:26:35.040,0.525,P,2021-09-19T15-00-00.mseed,7.692157169003622e-07,7.692157169003622e-07
AV.PVV..SH,2021-09-19T15:00:00.000,157024,2021-09-19T15:52:20.480,0.435,P,2021-09-19T15-00-00.mseed,2.113126953418032e-07,2.113126953418032e-07
AV.PVV..SH,2021-09-19T15:00:00.000,170806,2021-09-19T15:56:56.120,0.854,P,2021-09-19T15-00-00.mseed,4.51557127689739e-07,4.51557127689739e-07
AV.PVV..SH,2021-09-19T15:00:00.000,57603,2021-09-19T15:19:12.060,0.935,S,2021-09-19T15-00-00.mseed,1.466539288230706e-06,1.466539288230706e-06
AV.PVV..SH,2021-09-19T15:00:00.000,73628,2021-09-19T15:24:32.560,0.645,S,2021-09-19T15-00-00.mseed,5.145587351762515e-07,5.145587351762515e-07
