id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,2021-09-19T15:18:50.220000,P,0.967,8.533340405847412e-06,1,0.01095918868936543
AV.DEER..BH,2021-09-19T15:18:56.140000,S,0.924,8.533340405847412e-06,1,0.01674109569435992
AV.DOL..BH,2021-09-19T15:18:55.220000,P,0.967,9.202962246490642e-06,1,0.014912084822534795
AV.DOL..BH,2021-09-19T15:24:10.780000,P,0.816,2.9636705676239217e-06,-1,-1.0
AV.DOL..BH,2021-09-19T18:18:51.660000,P,0.788,3.292321025583078e-06,4,0.01095918868936543
AV.DOL..BH,2021-09-19T19:26:10.220000,P,0.853,3.0330338631756604e-06,6,0.01095918868936543
AV.DOL..BH,2021-09-19T15:19:05.100000,S,0.776,9.202962246490642e-06,1,0.004772900986440826
AV.DOL..BH,2021-09-19T18:27:45.740000,S,0.728,4.591117431118619e-06,-1,-1.0
AV.DT1..BH,2021-09-19T15:18:52.540000,P,0.911,7.409688805637415e-06,1,0.01672572358695353
AV.DT1..BH,2021-09-19T18:15:18.520000,P,0.77,2.925912212958792e-06,3,0.01095918868936543
AV.DT1..BH,2021-09-19T18:18:54.520000,P,0.842,2.9699788228754187e-06,4,0.01674109569435992
AV.DT1..BH,2021-09-19T18:30:20.300000,P,0.864,2.661087137312279e-06,5,0.01095918868936543
AV.DT1..BH,2021-09-19T15:18:59.940000,S,0.79,7.409688805637415e-06,1,0.00236708266800904
AV.DT1..BH,2021-09-19T18:27:50.380000,S,0.766,2.9768805234198226e-06,-1,-1.0
AV.DTN..BH,2021-09-19T15:18:53.540000,P,0.93,3.6645428735937458e-06,1,0.020291265765485934
AV.DTN..BH,2021-09-19T18:15:18.760000,P,0.864,3.821045083896024e-06,3,0.01674109569435992
AV.DTN..BH,2021-09-19T18:18:54.840000,P,0.873,3.2890113743633265e-06,4,0.014912084822534795
AV.DTN..BH,2021-09-19T18:30:20.760000,P,0.755,3.0440569389611483e-06,5,0.01674109569435992
AV.DTN..BH,2021-09-19T18:41:14.920000,P,0.701,3.132923666271381e-06,-1,-1.0
AV.DTN..BH,2021-09-19T19:33:57.420000,P,0.718,3.15982424581307e-06,-1,-1.0
AV.DTN..BH,2021-09-19T15:19:01.620000,S,0.719,3.648941856226884e-06,1,0.0009198015096624882
AV.HAG..SH,2021-09-19T15:18:57.980000,P,0.971,2.8788999770767987e-06,1,0.03024134967287939
AV.HAG..SH,2021-09-19T16:24:54.960000,P,0.894,2.25105463869113e-06,-1,-1.0
AV.HAG..SH,2021-09-19T17:11:16.900000,P,0.971,1.0305739124305546e-06,-1,-1.0
AV.HAG..SH,2021-09-19T17:45:27.160000,P,0.922,8.305294159072218e-07,2,0.01095918868936543
AV.HAG..SH,2021-09-19T18:15:18.020000,P,0.858,2.9386790174612543e-06,3,0.014912084822534795
AV.HAG..SH,2021-09-19T18:16:53.580000,P,0.815,1.6133576536958572e-06,-1,-1.0
AV.HAG..SH,2021-09-19T18:18:53.820000,P,0.932,4.949177764501656e-06,4,0.004772900986440826
AV.HAG..SH,2021-09-19T18:27:29.340000,P,0.812,2.569256594142644e-06,-1,-1.0
